id;topic;subtopic;question;option1;option2;option3;option4;correct_option
45;Graph Theory;;What is the total weight of the minimum spanning tree for the graph with vertices $A, B, C, D$ and edges $AB = 1$, $AC = 3$, $AD = 4$, $BC = 2$, $BD = 5$, $CD = 1$?;5;4;6;3;option2
46;Graph Theory;;Consider the weighted graph with vertices $A, B, C, D, E$ and edges with the following weights: $AB = 1$, $AC = 4$, $BC = 2$, $BD = 5$, $CD = 3$, $DE = 1$, $CE = 6$. Using Kruskal’s algorithm, which of the following is the correct minimum spanning tree?;\{AB, DE, AC, CD\};\{AB, DE, BC, CD\};\{AB, DE, BC, CE\};\{AB, DE, BC, BD\};option2
47;Graph Theory;;What is the number of edges in the complementary graph $\overline{G}$ of a simple graph $G$ with $n$ vertices and $m$ edges?;n(n-1);\frac{n(n-1)}{2} + m;m;\frac{n(n-1)}{2} - m;option4
48;Graph Theory;;A connected planar graph has 10 vertices and 15 edges. How many regions does it have?;6;8;7;5;option3
49;Graph Theory;;"Let $G$ be a simple graph with vertex set $[5] = \{1,2,3,4,5\}$ and edges defined by $\{a,b\} \in E$ if and only if $a \equiv b \pmod{2}$. Consider the following statements about the complementary graph $\overline{G}$:

- $\overline{G}$ is bipartite.
- $\overline{G}$ has exactly 5 edges.
- $\overline{G}$ is a complete graph.
- $\overline{G}$ is disconnected.

Choose the correct option:";All the sentences are true.;Only one of the sentences is correct.;There are exactly two correct sentences.;There are exactly three correct sentences.;option2
50;Graph Theory;;What is the chromatic number of a bipartite graph?;1;3;4;2;option4
51;Graph Theory;;Determine the chromatic number of the following graph: a cycle with 5 vertices labeled $A, B, C, D, E$ connected sequentially in a loop. What is the minimum number of colors needed to color the vertices so that no two adjacent vertices share the same color?;5;2;4;3;option4
52;Graph Theory;;In which of the following graphs can we find an Eulerian trail (a trail on $G$ that includes every edge of $G$ such that the only repeated vertices are the start and the end, and the start and end may be different)?$$\psi_1=\begin{pmatrix}A & B & C & D & E & F\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{5,6\}\end{pmatrix}$$$$\psi_2=\begin{pmatrix}X & Y & Z & W & V & U\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{5,6\}\end{pmatrix}$$$$\psi_3=\begin{pmatrix}P & Q & R & S & T & U\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{5,6\}\end{pmatrix}$$$$\psi_4=\begin{pmatrix}M & N & O & P & Q & R\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{5,6\}\end{pmatrix}$$$$\psi_5=\begin{pmatrix}L & M & N & O & P & Q\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{5,6\}\end{pmatrix}$$;Graphs $\psi_2$ and $\psi_3$;All of them have an Eulerian trail.;None of them has an Eulerian trail.;Graph $\psi_1$;option4
53;Graph Theory;;What is the number of regions in a connected planar graph with 6 vertices and 9 edges?;5;7;6;4;option1
54;Graph Theory;;What is the number of edges in a simple undirected graph with the following adjacency matrix? $$\begin{bmatrix} 0 & 1 & 1 & 0 \\ 1 & 0 & 1 & 1 \\ 1 & 1 & 0 & 1 \\ 0 & 1 & 1 & 0 \end{bmatrix}$$;5;4;6;10;option1
55;Graph Theory;;Consider the undirected graph $G$ with the following incidence matrix: $$\begin{pmatrix}1 & 0 \ 1 & 0 \ 0 & 1 \ 0 & 1\end{pmatrix}$$. How many connected components does $G$ have?;4;2;3;1;option2
56;Graph Theory;;Which of the following correctly describes the complementary graph of a simple graph $ G $?;Two vertices are adjacent in $ \overline{G} $ if and only if they are not adjacent in $ G $.;The complement has no edges.;Two vertices are adjacent in $ \overline{G} $ if they are adjacent in $ G $.;The complement has the same edges as $ G $ but different vertices.;option1
57;Graph Theory;;Which adjacency matrix represents the complementary graph of the graph with edges \{1-2, 1-3, 2-3\} on four vertices?;\left[\begin{array}{cccc}0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 1 & 1 & 1 & 0\end{array}\right];\left[\begin{array}{cccc}0 & 1 & 1 & 1 \\ 1 & 0 & 1 & 1 \\ 1 & 1 & 0 & 1 \\ 1 & 1 & 1 & 0\end{array}\right];\left[\begin{array}{cccc}0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 0 \\ 1 & 1 & 0 & 0\end{array}\right];\left[\begin{array}{cccc}0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 1 & 1 & 1 & 1\end{array}\right];option1
58;Graph Theory;;Consider a simple graph $ G $ with 5 vertices. If the degree sequence of $ G $ is $[2, 2, 2, 2, 2]$, what is the degree sequence of its complement graph $ \overline{G} $?;[3, 3, 3, 3, 3];[1, 1, 1, 1, 1];[0, 0, 0, 0, 0];[2, 2, 2, 2, 2];option4
59;Graph Theory;;Consider the adjacency matrix $ A = \begin{bmatrix} 0 & 1 & 1 & 0 \\ 1 & 0 & 1 & 1 \\ 1 & 1 & 0 & 1 \\ 0 & 1 & 1 & 0 \end{bmatrix} $ of a simple graph $ G $. Which of the following statements is true about $ G $?;(c) $ G $ has exactly 4 edges;(d) $ G $ is a complete graph;(b) $ G $ is bipartite;(a) $ G $ contains a cycle of length 3;option4
60;Graph Theory;;Which of the following graphs is the complement of the graph $ G $ with vertex set $ \{1, 2, 3, 4\} $ and edge set $ \{\{1,2\}, \{1,3\}, \{1,4\}\} $?;(d) $ \{\{1,3\}, \{2,3\}, \{3,4\}\} $;(b) $ \{\{2,3\}, \{2,4\}, \{3,4\}\} $;(c) $ \{\{1,2\}, \{1,4\}, \{2,4\}\} $;(a) $ \{\{1,2\}, \{1,3\}, \{2,3\}\} $;option2
61;Graph Theory;;Apply Kruskal's algorithm to find the minimum spanning tree of the weighted graph with vertices $A, B, C, D$ and edges $AB = 1$, $AC = 2$, $AD = 3$, $BC = 4$, $BD = 5$, $CD = 6$. What is the correct sequence of edges selected?;AB, AC, BC;AB, AD, BD;AB, AC, CD;AB, AC, AD;option4
62;Graph Theory;;Determine the chromatic number of the graph with vertices $A, B, C, D$ and edges $AB, BC, CA, AD, BD, CD$ using the described vertex coloring procedure. The graph consists of a triangle $ABC$ with a central vertex $D$ connected to all three vertices of the triangle.;\boxed{5};\boxed{2};\boxed{4};\boxed{3};option3
63;Graph Theory;;How many spanning trees does the complete graph $ K_4 $ have?;8;24;16;12;option3
64;Graph Theory;;Determine the chromatic number of the graph consisting of a 5-node cycle with an additional central node connected to all nodes of the cycle.;4;3;5;2;option1
65;Graph Theory;;Consider the directed graph with vertices A, B, C, D and edges A→B, B→C, C→D, D→A, A→C. What is its incidence matrix?;\begin{bmatrix} 1 & 0 & 0 & -1 & 0 \\ -1 & 1 & 0 & 0 & 0 \\ 0 & -1 & 1 & 0 & -1 \\ 0 & 0 & -1 & 1 & 0 \end{bmatrix};\begin{bmatrix} 1 & 0 & 0 & -1 & 1 \\ -1 & 1 & 0 & 0 & 0 \\ 0 & -1 & 1 & 0 & -1 \\ 0 & 0 & -1 & 1 & 0 \end{bmatrix};\begin{bmatrix} 1 & 0 & 0 & -1 & 1 \\ 1 & 1 & 0 & 0 & 0 \\ 0 & -1 & 1 & 0 & -1 \\ 0 & 0 & -1 & 1 & 0 \end{bmatrix};\begin{bmatrix} 1 & 1 & 0 & 1 & 1 \\ 1 & 1 & 1 & 0 & 0 \\ 0 & 1 & 1 & 1 & 1 \\ 1 & 0 & 1 & 1 & 0 \end{bmatrix};option2
66;Graph Theory;;Which of the following is true about a simple connected graph with 6 vertices and 15 edges?;It is a tree since it has no cycles.;It is planar because it satisfies Euler's formula.;It is nonplanar.;It is bipartite because it contains no odd-length cycles.;option3
67;Graph Theory;;Which of the following statements is true for any non-trivial tree? (A) It has exactly two leaves. (B) It has at least two leaves. (C) It has no leaves. (D) It has exactly one leaf.;It has exactly two leaves.;It has no leaves.;It has at least two leaves.;It has exactly one leaf.;option3
68;Graph Theory;;A connected planar graph has 6 vertices and 9 edges. How many regions does it have in its planar representation?;7;13;4;5;option4
69;Graph Theory;;A simple graph whose vertex set can be partitioned into two disjoint subsets such that every edge connects a vertex from one subset to a vertex in the other is called a:;bipartite graph;disconnected graph;complete graph;regular graph;option1
70;Graph Theory;;Which inequality must hold for a simple connected planar graph with $ v \geq 3 $ vertices and $ e $ edges?;$ e \leq 2v - 4 $;$ e \leq 3v - 6 $;$ e \leq 3v - 5 $;$ e \leq 3v - 3 $;option2
