id;source_id;topic;subtopic;question;correct;incorrect1;incorrect2;incorrect3;difficulty;llm_difficulty;technique
17;475;Graph Theory;;Given the adjacency matrix of a simple graph $ G $: $$\begin{pmatrix}0 & 1 & 0 & 1 \\ 1 & 0 & 1 & 1 \\ 0 & 1 & 0 & 0 \\ 1 & 1 & 0 & 0\end{pmatrix}$$, which of the following is the adjacency matrix of its complement $ \overline{G} $?;\begin{pmatrix}0 & 0 & 1 & 0 \\ 0 & 0 & 0 & 0 \\ 1 & 0 & 0 & 1 \\ 0 & 0 & 1 & 0\end{pmatrix};\begin{pmatrix}1 & 0 & 1 & 0 \\ 0 & 1 & 0 & 0 \\ 1 & 0 & 1 & 1 \\ 0 & 0 & 1 & 1\end{pmatrix};\begin{pmatrix}0 & 1 & 0 & 1 \\ 1 & 0 & 1 & 1 \\ 0 & 1 & 0 & 0 \\ 1 & 1 & 0 & 0\end{pmatrix};\begin{pmatrix}0 & 0 & 1 & 1 \\ 0 & 0 & 0 & 0 \\ 1 & 0 & 0 & 1 \\ 1 & 0 & 1 & 0\end{pmatrix};3;3;
18;476;Graph Theory;;Consider the directed graph with vertices $1, 2, 3$ and edges $1 \rightarrow 2$, $2 \rightarrow 3$, and $3 \rightarrow 1$. Which of the following is its incidence matrix?;\begin{pmatrix} 1 & 0 & -1 \\ -1 & 1 & 0 \\ 0 & -1 & 1 \end{pmatrix};\begin{pmatrix} -1 & 0 & 1 \\ 1 & -1 & 0 \\ 0 & 1 & -1 \end{pmatrix};\begin{pmatrix} 0 & 1 & 0 \\ 0 & 0 & 1 \\ 1 & 0 & 0 \end{pmatrix};\begin{pmatrix} 1 & 0 & -1 \\ 1 & -1 & 0 \\ 0 & 1 & -1 \end{pmatrix};3;3;
19;477;Graph Theory;;How many edges does the complement of the cycle graph $ C_4 $ have?;2;3;4;6;3;3;
20;478;Graph Theory;;Consider the directed graph with vertices $v_1, v_2, v_3, v_4$ and edges $a_1: v_1 	o v_2$, $a_2: v_2 	o v_3$, $a_3: v_3 	o v_4$, $a_4: v_4 	o v_1$, and $a_5: v_2 	o v_4$. Which of the following is the correct incidence matrix of this directed graph?;\begin{pmatrix}-1 & 0 & 0 & 1 & 0 \\ 1 & -1 & 0 & 0 & -1 \\ 0 & 1 & -1 & 0 & 0 \\ 0 & 0 & 1 & -1 & 1\end{pmatrix};\begin{pmatrix}1 & 0 & 0 & 1 & 0 \\ 1 & 1 & 0 & 0 & 1 \\ 0 & 1 & 1 & 0 & 0 \\ 0 & 0 & 1 & 1 & 1\end{pmatrix};\begin{pmatrix}-1 & 0 & 0 & 1 & 0 \\ 1 & 1 & 0 & 0 & 1 \\ 0 & 1 & -1 & 0 & 0 \\ 0 & 0 & 1 & -1 & 1\end{pmatrix};\begin{pmatrix}-1 & 0 & 0 & 1 & 0 \\ 1 & -1 & 0 & 0 & -1 \\ 0 & 1 & -1 & 0 & 0 \\ 0 & 0 & 1 & 1 & 1\end{pmatrix};3;3;
21;479;Graph Theory;;What is the chromatic number of a cycle graph with 5 vertices?;3;2;4;1;3;3;
22;480;Graph Theory;;What is the number of edges in the complete graph $K_5$?;$\frac{5 \times 4}{2} = 10$;$5 \times 4 = 20$;$5^2 = 25$;$5 + 4 = 9$;2;2;
23;481;Graph Theory;;Which of the following is not equivalent to the others for a graph $ G $?;$ G $ has exactly one cycle;$ G $ is a tree;$ G $ is connected and acyclic;$ G $ has $ n-1 $ edges;2;2;
24;482;Graph Theory;;What is the number of edges in the complement of a graph $ G $ with 10 vertices and 25 edges?;20;25;45;90;2;2;
25;581;Graph Theory;;Which of the following statements about trees is false?;A tree can have cycles.;A tree is connected and acyclic.;A tree with $ n $ vertices has $ n-1 $ edges.;There is exactly one path between any two vertices in a tree.;2;2;
26;582;Graph Theory;;Which of the following is a trail but not a path in a graph?;A walk with no repeated edges but with at least one repeated vertex.;A closed walk with no repeated edges.;A walk with no repeated vertices.;A closed walk with no repeated vertices except the starting/ending one.;3;3;
27;583;Graph Theory;;Which of the following complete graphs is bipartite?;K_2;K_3;K_4;K_5;2;2;
28;584;Graph Theory;;Consider the undirected graph with vertices $1, 2, 3, 4$ and edges $\{1-2, 1-3, 2-4, 3-4\}$. Which of the following is its adjacency matrix?;\begin{pmatrix}0 & 1 & 1 & 0 \\ 1 & 0 & 0 & 1 \\ 1 & 0 & 0 & 1 \\ 0 & 1 & 1 & 0\end{pmatrix};\begin{pmatrix}0 & 1 & 1 & 0 \\ 1 & 0 & 1 & 1 \\ 1 & 1 & 0 & 1 \\ 0 & 1 & 1 & 0\end{pmatrix};\begin{pmatrix}0 & 1 & 0 & 0 \\ 1 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 0 & 1 & 1 & 0\end{pmatrix};\begin{pmatrix}0 & 1 & 1 & 0 \\ 1 & 0 & 0 & 1 \\ 1 & 0 & 0 & 1 \\ 0 & 1 & 1 & 1\end{pmatrix};3;3;
29;589;Graph Theory;;If $ G $ is a simple graph with 4 vertices and 2 edges, how many edges does its complement $ \overline{G} $ have?;\boxed{4};\boxed{2};\boxed{6};\boxed{3};2;2;
30;929;Graph Theory;;A connected planar graph has 7 vertices and 11 edges. How many faces does it have?;|F| = 6;|F| = 5;|F| = 7;|F| = 8;2;2;
31;930;Graph Theory;;What is the maximum number of edges in a connected planar simple graph with 7 vertices?;15;14;16;12;3;3;
32;933;Graph Theory;;What is the maximum number of edges in a simple planar graph with 6 vertices?;12;8;15;9;3;3;
33;934;Graph Theory;;Consider the adjacency matrix of a simple graph $ G $ given below. What is the chromatic number of $ G $?;\chi(G) = 3;\chi(G) = 2;\chi(G) = 4;\chi(G) = 5;3;3;
34;935;Graph Theory;;What is the chromatic number of the complete bipartite graph $ K_{2,3} $?;2;1;3;4;2;2;
35;936;Graph Theory;;What is the chromatic number of the cycle graph $ C_5 $?;3;2;4;5;2;2;
36;937;Graph Theory;;Which of the following statements is true about the cycle graph $ C_7 $?;It is not bipartite because it contains an odd-length cycle.;It is bipartite because it can be divided into two sets with no edges within each set.;It is 3-regular and bipartite.;It has a chromatic number of 3.;3;3;
37;938;Graph Theory;;Which of the following statements is true for a connected planar simple graph with $ v \geq 3 $ vertices?;The number of edges is at most $ 3v - 6 $.;The number of edges is at least $ 3v - 6 $.;The number of edges is at most $ 2v - 4 $.;The number of edges is at least $ 2v - 4 $.;4;4;
38;939;Graph Theory;;"Consider a tree with 7 vertices. Which of the following statements are true? 

i. It has exactly 6 edges.
ii. It contains exactly one cycle.
iii. It has at least two leaves.";Only statements i. and iii. are true.;Only statements i. and ii. are true.;Only statements ii. and iii. are true.;All statements are false.;2;2;
39;940;Graph Theory;;Consider the following weighted graph with vertices A, B, C, D, E and edges with weights: AB=1, BE=2, AC=3, CE=1, AD=4, DE=1. Which path from A to E has the least total weight?;The path $ABE$ with total weight 3.;The path $ACE$ with total weight 4.;The path $ADE$ with total weight 5.;The path $ABCE$ with total weight 5.;2;2;
40;941;Graph Theory;;Consider the following weighted graph with edges AB (2), AC (5), BC (1), BD (3), CE (4), and DE (1). What is the shortest path from A to E?;A \rightarrow B \rightarrow D \rightarrow E;A \rightarrow B \rightarrow C \rightarrow E;A \rightarrow C \rightarrow E;A \rightarrow B \rightarrow D \rightarrow C \rightarrow E;3;3;
41;942;Graph Theory;;A connected graph has 10 vertices and 15 edges. What is the minimum number of edges that must be removed to leave a spanning tree?;6;5;7;8;3;3;
42;943;Graph Theory;;Which of the following is a spanning tree of the connected graph with vertices $A, B, C, D, E$ and edges $AB, AC, AD, AE, BC, BD, BE, CD, CE$?;$AB$, $AC$, $AD$, $AE$;$AB$, $BC$, $CD$, $DE$, $EA$;$AB$, $BC$, $CD$;$AB$, $AC$, $AD$, $AE$, $BC$;3;3;
43;944;Graph Theory;;Which of the following statements is equivalent to a graph being a tree? Consider a graph $ G $ with $ n $ vertices.;\text{(c)}\ G \text{ is connected and has } n-1 \text{ edges};\text{(a)}\ G \text{ is acyclic and has } n \text{ edges};\text{(b)}\ G \text{ is connected and has } n+1 \text{ edges};\text{(d)}\ G \text{ contains exactly one cycle};4;4;
44;945;Graph Theory;;Which of the following is a valid characterization of a tree?\n\n(A) A connected graph with $ n $ vertices and $ n $ edges.\n(B) An acyclic graph with $ n $ vertices and $ n-2 $ edges.\n(C) A connected graph with $ n $ vertices and $ n-1 $ edges.\n(D) A graph with $ n $ vertices, $ n-1 $ edges, and exactly one cycle.;(C) A connected graph with $ n $ vertices and $ n-1 $ edges.;(A) A connected graph with $ n $ vertices and $ n $ edges.;(B) An acyclic graph with $ n $ vertices and $ n-2 $ edges.;(D) A graph with $ n $ vertices, $ n-1 $ edges, and exactly one cycle.;4;4;
45;946;Graph Theory;;What is the total weight of the minimum spanning tree for the graph with vertices $A, B, C, D$ and edges $AB = 1$, $AC = 3$, $AD = 4$, $BC = 2$, $BD = 5$, $CD = 1$?;4;5;3;6;4;4;
46;947;Graph Theory;;Consider the weighted graph with vertices $A, B, C, D, E$ and edges with the following weights: $AB = 1$, $AC = 4$, $BC = 2$, $BD = 5$, $CD = 3$, $DE = 1$, $CE = 6$. Using Kruskal’s algorithm, which of the following is the correct minimum spanning tree?;\{AB, DE, BC, CD\};\{AB, DE, BC, BD\};\{AB, DE, AC, CD\};\{AB, DE, BC, CE\};3;3;
47;1023;Graph Theory;;What is the number of edges in the complementary graph $\overline{G}$ of a simple graph $G$ with $n$ vertices and $m$ edges?;\frac{n(n-1)}{2} - m;\frac{n(n-1)}{2} + m;m;n(n-1);1;1;
48;1501;Graph Theory;;A connected planar graph has 10 vertices and 15 edges. How many regions does it have?;7;6;8;5;3;3;
49;1504;Graph Theory;;"Let $G$ be a simple graph with vertex set $[5] = \{1,2,3,4,5\}$ and edges defined by $\{a,b\} \in E$ if and only if $a \equiv b \pmod{2}$. Consider the following statements about the complementary graph $\overline{G}$:

- $\overline{G}$ is bipartite.
- $\overline{G}$ has exactly 5 edges.
- $\overline{G}$ is a complete graph.
- $\overline{G}$ is disconnected.

Choose the correct option:";Only one of the sentences is correct.;There are exactly two correct sentences.;There are exactly three correct sentences.;All the sentences are true.;4;4;
50;1505;Graph Theory;;What is the chromatic number of a bipartite graph?;2;1;3;4;2;2;
51;1507;Graph Theory;;Determine the chromatic number of the following graph: a cycle with 5 vertices labeled $A, B, C, D, E$ connected sequentially in a loop. What is the minimum number of colors needed to color the vertices so that no two adjacent vertices share the same color?;3;2;4;5;2;2;
52;1508;Graph Theory;;In which of the following graphs can we find an Eulerian trail (a trail on $G$ that includes every edge of $G$ such that the only repeated vertices are the start and the end, and the start and end may be different)?$$\psi_1=\begin{pmatrix}A & B & C & D & E & F\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{5,6\}\end{pmatrix}$$$$\psi_2=\begin{pmatrix}X & Y & Z & W & V & U\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{5,6\}\end{pmatrix}$$$$\psi_3=\begin{pmatrix}P & Q & R & S & T & U\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{5,6\}\end{pmatrix}$$$$\psi_4=\begin{pmatrix}M & N & O & P & Q & R\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{5,6\}\end{pmatrix}$$$$\psi_5=\begin{pmatrix}L & M & N & O & P & Q\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{5,6\}\end{pmatrix}$$;Graph $\psi_1$;Graphs $\psi_2$ and $\psi_3$;None of them has an Eulerian trail.;All of them have an Eulerian trail.;2;2;
53;1509;Graph Theory;;What is the number of regions in a connected planar graph with 6 vertices and 9 edges?;5;4;6;7;3;3;
54;1510;Graph Theory;;What is the number of edges in a simple undirected graph with the following adjacency matrix? $$\begin{bmatrix} 0 & 1 & 1 & 0 \\ 1 & 0 & 1 & 1 \\ 1 & 1 & 0 & 1 \\ 0 & 1 & 1 & 0 \end{bmatrix}$$;5;10;4;6;3;3;
55;1511;Graph Theory;;Consider the undirected graph $G$ with the following incidence matrix: $$\begin{pmatrix}1 & 0 \ 1 & 0 \ 0 & 1 \ 0 & 1\end{pmatrix}$$. How many connected components does $G$ have?;2;1;3;4;3;3;
56;1512;Graph Theory;;Which of the following correctly describes the complementary graph of a simple graph $ G $?;Two vertices are adjacent in $ \overline{G} $ if and only if they are not adjacent in $ G $.;Two vertices are adjacent in $ \overline{G} $ if they are adjacent in $ G $.;The complement has the same edges as $ G $ but different vertices.;The complement has no edges.;1;1;
57;1643;Graph Theory;;Which adjacency matrix represents the complementary graph of the graph with edges \{1-2, 1-3, 2-3\} on four vertices?;\left[\begin{array}{cccc}0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 1 & 1 & 1 & 0\end{array}\right];\left[\begin{array}{cccc}0 & 1 & 1 & 1 \\ 1 & 0 & 1 & 1 \\ 1 & 1 & 0 & 1 \\ 1 & 1 & 1 & 0\end{array}\right];\left[\begin{array}{cccc}0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 0 \\ 1 & 1 & 0 & 0\end{array}\right];\left[\begin{array}{cccc}0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 1 & 1 & 1 & 1\end{array}\right];3;3;
58;1644;Graph Theory;;Consider a simple graph $ G $ with 5 vertices. If the degree sequence of $ G $ is $[2, 2, 2, 2, 2]$, what is the degree sequence of its complement graph $ \overline{G} $?;[2, 2, 2, 2, 2];[3, 3, 3, 3, 3];[1, 1, 1, 1, 1];[0, 0, 0, 0, 0];3;3;
59;1646;Graph Theory;;Consider the adjacency matrix $ A = \begin{bmatrix} 0 & 1 & 1 & 0 \\ 1 & 0 & 1 & 1 \\ 1 & 1 & 0 & 1 \\ 0 & 1 & 1 & 0 \end{bmatrix} $ of a simple graph $ G $. Which of the following statements is true about $ G $?;(a) $ G $ contains a cycle of length 3;(b) $ G $ is bipartite;(c) $ G $ has exactly 4 edges;(d) $ G $ is a complete graph;3;3;
60;1647;Graph Theory;;Which of the following graphs is the complement of the graph $ G $ with vertex set $ \{1, 2, 3, 4\} $ and edge set $ \{\{1,2\}, \{1,3\}, \{1,4\}\} $?;(b) $ \{\{2,3\}, \{2,4\}, \{3,4\}\} $;(a) $ \{\{1,2\}, \{1,3\}, \{2,3\}\} $;(c) $ \{\{1,2\}, \{1,4\}, \{2,4\}\} $;(d) $ \{\{1,3\}, \{2,3\}, \{3,4\}\} $;3;3;
61;1648;Graph Theory;;Apply Kruskal's algorithm to find the minimum spanning tree of the weighted graph with vertices $A, B, C, D$ and edges $AB = 1$, $AC = 2$, $AD = 3$, $BC = 4$, $BD = 5$, $CD = 6$. What is the correct sequence of edges selected?;AB, AC, AD;AB, AC, BC;AB, AD, BD;AB, AC, CD;4;4;
62;1649;Graph Theory;;Determine the chromatic number of the graph with vertices $A, B, C, D$ and edges $AB, BC, CA, AD, BD, CD$ using the described vertex coloring procedure. The graph consists of a triangle $ABC$ with a central vertex $D$ connected to all three vertices of the triangle.;\boxed{4};\boxed{3};\boxed{2};\boxed{5};4;4;
63;1650;Graph Theory;;How many spanning trees does the complete graph $ K_4 $ have?;16;8;12;24;3;3;
64;1651;Graph Theory;;Determine the chromatic number of the graph consisting of a 5-node cycle with an additional central node connected to all nodes of the cycle.;4;3;2;5;3;3;
65;1652;Graph Theory;;Consider the directed graph with vertices A, B, C, D and edges A→B, B→C, C→D, D→A, A→C. What is its incidence matrix?;\begin{bmatrix} 1 & 0 & 0 & -1 & 1 \\ -1 & 1 & 0 & 0 & 0 \\ 0 & -1 & 1 & 0 & -1 \\ 0 & 0 & -1 & 1 & 0 \end{bmatrix};\begin{bmatrix} 1 & 1 & 0 & 1 & 1 \\ 1 & 1 & 1 & 0 & 0 \\ 0 & 1 & 1 & 1 & 1 \\ 1 & 0 & 1 & 1 & 0 \end{bmatrix};\begin{bmatrix} 1 & 0 & 0 & -1 & 1 \\ 1 & 1 & 0 & 0 & 0 \\ 0 & -1 & 1 & 0 & -1 \\ 0 & 0 & -1 & 1 & 0 \end{bmatrix};\begin{bmatrix} 1 & 0 & 0 & -1 & 0 \\ -1 & 1 & 0 & 0 & 0 \\ 0 & -1 & 1 & 0 & -1 \\ 0 & 0 & -1 & 1 & 0 \end{bmatrix};3;3;
66;1872;Graph Theory;;Which of the following is true about a simple connected graph with 6 vertices and 15 edges?;It is nonplanar.;It is planar because it satisfies Euler's formula.;It is a tree since it has no cycles.;It is bipartite because it contains no odd-length cycles.;3;3;
67;1875;Graph Theory;;Which of the following statements is true for any non-trivial tree? (A) It has exactly two leaves. (B) It has at least two leaves. (C) It has no leaves. (D) It has exactly one leaf.;It has at least two leaves.;It has exactly two leaves.;It has no leaves.;It has exactly one leaf.;3;3;
68;2148;Graph Theory;;A connected planar graph has 6 vertices and 9 edges. How many regions does it have in its planar representation?;5;13;4;7;1;1;
69;2150;Graph Theory;;A simple graph whose vertex set can be partitioned into two disjoint subsets such that every edge connects a vertex from one subset to a vertex in the other is called a: ;bipartite graph;complete graph;regular graph;disconnected graph;1;1;
70;2158;Graph Theory;;Which inequality must hold for a simple connected planar graph with $ v \geq 3 $ vertices and $ e $ edges?;$ e \leq 3v - 6 $;$ e \leq 2v - 4 $;$ e \leq 3v - 5 $;$ e \leq 3v - 3 $;3;3;
