id;topic;subtopic;question;correct;incorrect1;incorrect2;incorrect3;pdf_material
581;Graph Theory;;Knowing that $T$ is a tree, which of the following sentences is false?;$T$ has $m$ edges and $m-1$ vertices.;$T$ is connected and contains no cycles.;There is precisely one path between any two vertices of $T$.;$T$ is a bipartite graph if it has at least two vertices.;242,243
582;Graph Theory;;Which of the following is an example of a Hamiltonian family of graphs?;$K_n$ with $n \geq 3$.;"$K_{m,n}$ with $m,\;n\geq 1$.";All 3-regular graphs.;All bipartite graphs.;239,24
583;Graph Theory;;The length of a walk is the number of edges in it. A graph $G$ is bipartite if and only if:;There are two disjoint non-empty vertex subsets, $V_1$ and $V_2$ such that each edge joins a vertex in $V_1$ to a vertex in $V_2$.;There are no cycles of even length.;$G$ admits a partition on the vertex set.;There are no paths of odd length.;237,239,240,241
584;Graph Theory;;The incidence matrix$\begin{pmatrix}1 & 0 & 1 & 0 & 0 & 0 \\1 & 1 & 0 & 0 & 0 & 0 \\0 & 1 & 1 & 1 & 1 & 0 \\0 & 0 & 0 & 0 & 1 & 1 \\0 & 0 & 0 & 1 & 0 & 1\end{pmatrix}$represents the graph:;d.;c.;a.;b.;238,242
589;Graph Theory;;If $G$ is a graph with $n$ vertices and $m$ edges without loops nor multiple edges, how manyedges does the complement of $G$ have?;$\frac{n(n-1)}{2}-m$ edges.;$\frac{m(m-1)}{2}-n$ edges.;$24$ edges.;$n(n-1)-m$ edges.;235,236,238,239,242
924;Graph Theory;;Consider a connected planar graph with $8$ vertices, each of degree $3$. Into how many regions (faces) is the plane divided by a planar representation of such graph?;$6$;$3$;$8$;$1$;241,242
929;Graph Theory;;The number of vertices, $|V|$, edges, $|E|$, and faces, $|F|$, of the attached graph is;$|V|=5$, $|E|=7$ and $|F|=4$.;$|V|=5$, $|E|=6$ and $|F|=7$.;$|V|=5$, $|E|=5$ and $|F|=5$.;$|V|=5$, $|E|=5$ and $|F|=3$.;235,236,238,239,241,242
930;Graph Theory;;Which of the attached graphs are planar?;$G_1$, $G_2$ and $G_3$.;All graphs.;$G_1$ and $G_3$.;$G_2$ and $G_4$.;241,242
933;Graph Theory;;For which $m$ and $n$ the graph $K_{m,n}$ is not planar?;$n \geq 3$ and $m \geq 3$.;$n=m$.;$n \geq 3$.;$m \geq 3$.;241,242
934;Graph Theory;;Consider the graphs in the image. About the chromatic number, we can say that:;$\chi(G_1)=\chi(G_3)=3$ and $\chi(G_2)=\chi(G_4)=4$.;$\chi(G_1)=\chi(G_3)=4$ and $\chi(G_2)=\chi(G_4)=3$.;All graphs have chromatic number $3$.;All graphs have chromatic number $4$.;235,236,238,239,242
935;Graph Theory;;The chromatic number of the graph $K_n$ is:;$n$.;$n-1$.;$\frac{n(n-1)}{2}$.;$2$.;237,241,242
936;Graph Theory;;The chromatic number of the graph $K_{m,n}$ is:;$2$.;$n \times m$.;$n+m$.;$m$.;237,241,242
937;Graph Theory;;Consider the following statements about graph $G$:;The statement $i.$ is true and the statement $ii.$ is false.;The statement $i.$ is false and the statement $ii.$ is true.;The statements are both true.;The statements are both false.;237,241,242
938;Graph Theory;;Which of the following sentences is true?;A planar graph with chromatic number $2$ must be Hamiltonian.;A Hamiltonian graph with chromatic number $2$ must be planar.;A graph which is both Hamiltonian and Eulerian and has chromatic number $2$ must be planar.;A graph which is both Hamiltonian and Eulerian must have chromatic number less than $6$.;241,242
939;Graph Theory;;The graph $T$ is a tree. Consider the following statements:;All statements are true.;Only statements $i.$ and $ii.$ are true.;Only statements $ii.$ and $iii.$ are true.;All statements are false.;241,242,243
940;Graph Theory;;Consider the following weighted graph. We can say that:;The path $af$ is shorter than $ag$.;The path $cf$ is shorter than $bg$.;The path $cz$ is shorter than $bz$.;The path $dg$ is shorter than $ef$.;239,244
941;Graph Theory;;Consider the following weighted graph and indicate the shortest path between $a$ and $z$.;$acdgz$.;$acegz$.;$abdfz$.;$abdegz$.;239,244
942;Graph Theory;;How many spanning trees has the following graph?;$8$.;$7$.;$2$.;$1$.;243
943;Graph Theory;;A spanning tree of the the following connected graph is the set of edges and terminal vertices:;$v_1v_5$, $v_2v_5$, $v_3v_5$, $v_4v_5$ and $v_6v_5$.;$v_1v_2$, $v_2v_3$, $v_3v_4$, $v_4v_5$, $v_5v_6$ and $v_6v_1$.;$v_1v_2$, $v_1v_5$, $v_1v_6$, $v_4v_3$ and $v_4v_5$.;$v_3v_2$, $v_3v_5$, $v_3v_4$ and $v_4v_5$.;243
944;Graph Theory;;Consider the following weighted graph. Applying the Kruskal algorithm to find the minimum spanning tree starting at vertex $a$, the order in which edges are added to form a tree is:;"$\{d,\;f\}$, $\{a,\;c\}$, $\{a,\;b\}$, $\{c,\;d\}$, $\{d,\;e\}$.";"$\{a,\;c\}$, $\{a,\;b\}$, $\{c,\;d\}$, $\{d,\;f\}$, $\{d,\;e\}$.";"$\{a,\;b\}$, $\{b,\;c\}$, $\{c,\;d\}$, $\{d,\;e\}$, $\{e,\;f\}$.";"$\{a,\;c\}$, $\{b,\;c\}$, $\{a,\;c\}$, $\{c,\;e\}$, $\{d,\;f\}$.";243
945;Graph Theory;;Consider the following weighted graph. Applying the Prim algorithm to find the minimum spanning tree starting at vertex $a$, the order in which edges are added to form a tree is:;"$\{a,\;c\}$, $\{a,\;b\}$, $\{c,\;d\}$, $\{d,\;f\}$, $\{d,\;e\}$.";"$\{a,\;b\}$, $\{b,\;c\}$, $\{c,\;d\}$, $\{d,\;e\}$, $\{e,\;f\}$.";"$\{a,\;c\}$, $\{b,\;c\}$, $\{a,\;c\}$, $\{c,\;e\}$, $\{d,\;f\}$.";"$\{d,\;f\}$, $\{a,\;c\}$, $\{a,\;b\}$, $\{c,\;d\}$, $\{d,\;e\}$.";243
946;Graph Theory;;The Dijkstra algorithm determines;the shortest path between two given vertices in a weighted connected graph.;the minimum spanning tree.;a spanning tree.;all paths between two given vertices.;239,244
947;Graph Theory;;The table shows the distances between $5$ European cities.Considering the graph $K_5$ where the vertices are those $5$ European cities, the corresponding minimum spanning tree is:;"$\{LT,\;RO\}$, $\{PT,\;IT\}$,$\{IT,\;LT\}$, $\{PT,\;IE\}$.";"$\{LT,\;RO\}$, $\{PT,\;IT\}$,$\{IT,\;LT\}$.";"$\{PT,\;IT\}$, $\{IT,\;RO\}$, $\{RO,\;LT\}$, $\{LT,\;IE\}$.";"$\{IT,\;RO\}$, $\{PT,\;IT\}$, $\{PT,\;IE\}$ $\{PT,\;RO\}$.";243,244
1023;Graph Theory;;In a simple graph of order $n$ the maximum possible degree of a vertex is:;$n-1$.;$n$.;$2n$.;$\frac{n(n-1)}{2}$.;235,236,238,239,242
1501;Graph Theory;;Among a group of $5$ people, is it possible for everyone to be friends with exactly $2$ of the people in the group?What about $3$ of the people in the group?;It is possible for $2$, but not for $3$.;It is possible for $3$, but not for $2$.;It is possible for both $2$ and $3$.;It is not possible for both $2$ and $3$.;235,236,238,239,241,242
1504;Graph Theory;;Let $G=(V,\,E)$ be a simple graph such that $V=[10]$ and $E$ is defined by$$\{a,\,b\} \in E \iff \text a \neq b \text{ and } a-b \text{ is a multiple of 2}$$ Consider the following sentences:\vspace- G is connected.- G is bipartite.- $|E|$ is a multiple of $4$.- G is Hamiltonian.\vspaceNote: $[10]=\{1,\,2,\,3,\,4,\,5,\,6,\,7,\,8,\,9,\,10\}$Choose the correct option:;Only one of the sentences is correct.;There are exactly two correct sentences.;There are exactly three correct sentences.;All the sentences are true.;235,236,238,239
1505;Graph Theory;;Is it true that all trees represent a bipartite graph?;Yes.;No.;It depends on the tree.;To answer this question, the tree drawing is required.;237,241,242,243
1507;Graph Theory;;Which of the following graphs is not connected, knowing that all of them have $5$ vertices?$$\phi_1=\begin{pmatrix}1 & 2 & 3 & 4 & 5 & 6\\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{1,5\} & \{1,5\}\end{pmatrix}$$$$\phi_2=\begin{pmatrix}b & a & e & d & c & f\\\{4,5\} & \{1,3\} & \{1,3\} & \{2,3\} & \{2,5\} & \{4,5\}\end{pmatrix}$$$$\phi_3=\begin{pmatrix}b & f & e & d & c & a\\\{4,5\} & \{1,3\} & \{1,3\} & \{2,3\} & \{2,4\} & \{4,5\}\end{pmatrix}$$$$\phi_4=\begin{pmatrix}a & b & c & d & e & f\\\{1,2\} & \{2,3\} & \{1,2\} & \{2,3\} & \{3,4\} & \{1,5\}\end{pmatrix}$$$$\phi_5=\begin{pmatrix}a & b & c & d & e & f\\\{1,2\} & \{2,3\} & \{1,2\} & \{1,3\} & \{2,3\} & \{4,5\}\end{pmatrix}$$;Graph $\phi_5$.;Graphs $\phi_2$ and $\phi_3$.;Graph $\phi_1$.;All of them are connected.;239,242
1508;Graph Theory;;In which of the following graphs can we find an Eulerian circuit (a trail on $G$ that includes every edge of $G$ such that the only repeated vertices are the start and the end)?$$\phi_1=\begin{pmatrix}F & B & C & D & E & A\\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{4,5\}\end{pmatrix}$$$$\phi_2=\begin{pmatrix}b & f & e & d & c & a\\\{4,5\} & \{1,3\} & \{1,3\} & \{2,3\} & \{2,4\} & \{4,5\}\end{pmatrix}$$$$\phi_3=\begin{pmatrix}1 & 2 & 3 & 4 & 5 & 6\\\{1,2\} & \{1,2\} & \{2,3\} & \{3,4\} & \{4,5\} & \{4,5\}\end{pmatrix}$$$$\phi_4=\begin{pmatrix}b & a & e & d & c & f\\\{4,5\} & \{1,3\} & \{1,3\} & \{2,3\} & \{2,5\} & \{4,5\}\end{pmatrix}$$$$\phi_5=\begin{pmatrix}a & b & c & d & e & f\\\{1,3\} & \{3,4\} & \{1,2\} & \{2,3\} & \{3,5\} & \{4,5\}\end{pmatrix}$$;Graph $\phi_5$.;Graphs $\phi_1$ and $\phi_2$.;None of them has an Eulerian circuit.;All of them have an Eulerian circuit.;
1509;Graph Theory;;How many simple graphs with $n$ vertices and $e$ edges are there?;${n \choose 2} \choose e$;$2^{n \choose e}$;${n \choose e}$;$2^e$;235,236,238,239,241,242
1510;Graph Theory;;How many simple graphs with $n$ vertices are there?;$2^{n \choose 2}$.;$2^n$.;$2n$.;${n \choose 2}$.;235,236,238,239,242
1511;Graph Theory;;Consider the graph $G$ whose adjacency matrix is $$\begin{pmatrix}0 & 1 & 0 & 0 \\1 & 1 & 0 & 0 \\0 & 0 & 0 & 1 \\0 & 0 & 1 & 0\end{pmatrix}$$ How many connected component does $G$ have?;$2$.;$1$.;$3$.;$4$.;238,239
1512;Graph Theory;;Let $G$ be a connected graph and $e \in E(G)$, where $E(G)$ denotes the set of edges of $G$.Assume that $e$ is in a cycle of $G$.What can we say about $G-e$ (the graph $G$ without the edge $e$)?;$G-e$ is also connected.;$G-e$ is not connected.;We don't have enough information to conclude anything.;To answer this question, a graph drawing is required.;235,236,238,239,242
1643;Graph Theory;;The adjacency matrix that represents the graph;$\left[\begin{array}{cccc}0 & 1 & 1 & 1 \\1 & 0 & 0 & 1 \\1 & 0 & 0 & 0 \\1 & 1 & 0 & 0\end{array}\right]$;$\left[\begin{array}{cccc}0 & 1 & 0 & 1 \\1 & 0 & 1 & 1 \\0 & 1 & 0 & 0 \\1 & 1 & 0 & 0\end{array}\right]$;$\left[\begin{array}{cccc}0 & 1 & 0 & 1 \\1 & 1 & 1 & 1 \\0 & 1 & 1 & 0 \\1 & 1 & 0 & 0\end{array}\right]$;$\left[\begin{array}{cccc}0 & 0 & 1 & 1 \\0 & 0 & 0 & 1 \\1 & 0 & 0 & 1 \\0 & 1 & 0 & 0 \\1 & 1 & 0 & 0\end{array}\right]$;235,236,238,239,242
1644;Graph Theory;;The graph;is disconnected.;has one vertex with degree three.;has every vertices are adjacent.;has every vertices are adjacent.;235,236,238,239,242
1646;Graph Theory;;The incidence matrix 	$\left[\begin{array}{cccccc}1 & 0 & 1 & 0 & 0 & 0 \\1 & 1 & 0 & 0 & 0 & 0 \\0 & 1 & 1 & 1 & 1 & 0 \\0 & 0 & 0 & 0 & 1 & 1 \\0 & 0 & 0 & 1 & 0 & 1 \\\end{array}\right]$ represents the graph:;(c);(d);(a);(b);235,236,238,239,242
1647;Graph Theory;;Which pair of simple graphs are isomorphic?;(c);(b);(d);(a);235,236,238,239,242
1648;Graph Theory;;Consider the following weighted graph and, only one do not indicate the shortest path between $v_0$ and $v_3$ using Dijkstra's algorithm.;$v_0v_4v_8v_3$;$v_0v_1v_2v_3$;$v_0v_4v_2v_3$;$v_0v_4v_1v_2v_3$;238,239,242,244
1649;Graph Theory;;Consider the weighted graph in the picture. Applying the Prim's algorithm to find the minimum spanning tree starting at vertex $a$, the order in which edges are added to form a tree is:;"$\{a,\;d\}$, $\{d,\;e\}$, $\{d,\;c\}$, $\{d,\;b\}$";"$\{e,\;d\}$, $\{d,\;c\}$, $\{b,\;d\}$, $\{a,\;d\}$";"$\{a,\;b\}$, $\{b,\;e\}$, $\{e,\;d\}$, $\{d,\;c\}$";"$\{c,\;d\}$, $\{d,\;e\}$, $\{e,\;b\}$, $\{b,\;d\}$";242,243
1650;Graph Theory;;How many non isomorphic spanning trees has the following graph?;2;7;8;1;235,236,238,239,242,243
1651;Graph Theory;;Which of the following graphs is planar?;$G_1$;$G_2$;none;both;235,236,238,239,241,242
1652;Graph Theory;;The indidence matrix of the following graph is;$\left[\begin{array}{cccccc}-1 & 0 & 0 & 0 & 0 & 1 \\1 &-1 &-1 & 0 & 0 & 0 \\0 & 1 & 0 &-1 & 0 & 0 \\0 & 0 & 1 & 1 & 1 & 0 \\0 & 0 & 0 & 0 &-1 &-1 \\\end{array}\right]$;$\left[\begin{array}{ccccc}0 & -1 & 0 & 0 & 1\\1 & 1 & 0 & -1 & 1\\0 & 0 & 0 & 0 & 1\\0 & 1 & 0 & 0 & 0\\1 & 1 & -1 & 0 & 0\\\end{array}\right]$;$\left[\begin{array}{ccccc}0 & 1 & 0 & 0 & 1\\1 & 0 & 1 & 1 & 0\\0 & 1 & 0 & 1 & 0\\0 & 1 & 1 & 0 & 1\\1 & 0 & 0 & 1 & 0\\\end{array}\right]$;$\left[\begin{array}{cccccc}1 & 0 & 0 & 0 & 0 & 1 \\1 & 1 & 1 & 0 & 0 & 0 \\0 & 1 & 0 & 1 & 0 & 0 \\0 & 0 & 1 & 1 & 1 & 0 \\0 & 0 & 0 & 0 & 1 & 1 \\\end{array}\right]$;238,242
1872;Graph Theory;;If the graph $G$ has chromatic number $\chi(G)=2$, then;the graph is bipartite.;the graph is planar.;the graph is complete.;the graph is connected.;237,239,241,242
1875;Graph Theory;;How many non isomorphic trees with five vertices exists?;5;8;1;9;236,239,242,243
2148;Graph Theory;;A simple graph with eight vertices of degree 3 has:;12 edges.;11 edges.;24 edges.;6 edges.;241,242
2150;Graph Theory;;A simple graph where all vertices have the same degree is a:;regular graph.;complete graph.;bipartite graph.;disconnected graph.;237,242
2158;Graph Theory;;The length of a walk is the number of edges in it. A graph $G$ is bipartite if and only if:;there is no cycles of odd length.;there is no cycles of even length.;$G$ admits a partition on vertex set.;Exists two disjoint non empty vertex subsets, $V_1$ and $V_2$, that each edge joins a vertex in $V_1$ to a vertex in $V_2$.;237,239,240,241,244
