id;source_id;topic;subtopic;question;correct;incorrect1;incorrect2;incorrect3;difficulty;llm_difficulty;technique
11;461;Fundamental Mathematics;Elementary Geometry;Which of the following correctly lists the number of faces, vertices, and edges for a heptagonal prism?;9, 14, 21;8, 14, 21;9, 15, 21;9, 14, 20;4;4;
12;462;Fundamental Mathematics;Elementary Geometry;Which Platonic solid has twice as many edges as vertices?;\text{Octahedron};\text{Cube};\text{Dodecahedron};\text{Icosahedron};4;4;
13;463;Fundamental Mathematics;Elementary Geometry;A solid has a total of 16 faces and edges. Which of the following is the solid?;The solid is a pentagonal pyramid.;The solid is a hexagonal pyramid.;The solid is a pentagonal prism.;The solid is a hexagonal prism.;3;3;
14;464;Fundamental Mathematics;Elementary Geometry;What is the number of edges in a hexagonal prism?;$18$;$12$;$8$;$24$;3;3;
15;467;Fundamental Mathematics;Elementary Geometry;A prism with a heptagonal base has how many edges?;\boxed{21};\boxed{14};\boxed{18};\boxed{28};3;3;
16;494;Fundamental Mathematics;Elementary Geometry;The measure of an exterior angle of a regular pentagon is;$72^\circ$;$108^\circ$;$60^\circ$;$36^\circ$;2;2;
17;495;Fundamental Mathematics;Elementary Geometry;The measure of an interior angle of a regular hexagon is;$120^\circ$;$150^\circ$;$60^\circ$;$90^\circ$;2;2;
18;496;Fundamental Mathematics;Elementary Geometry;A polygon has 54 diagonals. How many sides does it have?;$12$;$10$;$15$;$9$;3;3;
19;497;Fundamental Mathematics;Elementary Geometry;If a prism has a base that is a heptagon, how many faces does it have?;9;8;14;10;3;3;
20;498;Fundamental Mathematics;Elementary Geometry;Which statement is true about the exterior angles of a triangle?;The sum of the measures of the exterior angles is $360^\circ$.;The sum of the measures of the exterior angles is $180^\circ$.;Each exterior angle is equal to the sum of the two adjacent interior angles.;The sum of the measures of the exterior angles depends on the type of triangle.;2;2;
21;499;Fundamental Mathematics;Elementary Geometry;Consider a triangle with angles measuring $40^\circ$, $60^\circ$, and $80^\circ$. Choose the true statement.;It is an acute triangle.;It has a right angle.;It is an obtuse triangle.;It is an equilateral triangle.;2;2;
22;500;Fundamental Mathematics;Elementary Geometry;Choose the true statement about triangle congruence.;If two triangles have all three sides congruent, then they are congruent.;If two triangles have two angles congruent, then they are congruent.;If two triangles have two sides and a non-included angle congruent, then they are congruent.;If two triangles have one side and one angle congruent, then they are congruent.;2;2;
23;501;Fundamental Mathematics;Elementary Geometry;The total surface area (expressed in a given measure unit) of this cone with radius $ a $ and slant height $ b $ is:;\pi a(a + b);\pi ab;2\pi a(a + b);\pi a^2 + \pi b^2;3;3;
24;502;Fundamental Mathematics;Elementary Geometry;Consider a reflection over line $ s $. Choose the correct statement.;The original figure and its image are congruent.;The image is similar but not congruent to the original figure.;The line $ s $ must be horizontal.;The image is located on the opposite side of $ s $ at twice the distance from $ s $.;2;2;
25;503;Fundamental Mathematics;Elementary Geometry;Which geometric transformation is an isometry that maps every line to a parallel line?;Translation;Rotation;Reflection;Glide reflection;3;3;
26;504;Fundamental Mathematics;Elementary Geometry;Which of the following geometric transformations changes the size of a figure?;Dilation of centre $O$ and scale factor $k = 3$;Translation associated to vector $\vec{v} = (5, -2)$;Rotation of centre $O$ and amplitude $60^\circ$;Reflection associated to line $y = -x$;4;4;
27;505;Fundamental Mathematics;Elementary Geometry;In triangle $ ABC $, if the exterior angle at vertex $ C $ measures $ 110^\circ $ and one of the non-adjacent interior angles measures $ 45^\circ $, what is the measure of the other non-adjacent interior angle?;$ 65^\circ $;$ 45^\circ $;$ 110^\circ $;$ 155^\circ $;2;2;
28;506;Fundamental Mathematics;Elementary Geometry;Which of the following correctly describes the number of lines of symmetry for a square?;A square has 4 lines of symmetry.;A square has 2 lines of symmetry.;A square has 1 line of symmetry.;A square has 6 lines of symmetry.;2;2;
29;509;Fundamental Mathematics;Elementary Geometry;A pentagonal prism has how many edges?;$15$;$10$;$7$;$12$;3;3;
30;510;Fundamental Mathematics;Elementary Geometry;Which statement correctly describes the rotational symmetries of a regular hexagon?;It has six rotational symmetries, including a 360° rotation.;It has three rotational symmetries (60°, 120°, 180°).;It has four rotational symmetries (90°, 180°, 270°, 360°).;It has twelve rotational symmetries (every 30°).;3;3;
31;511;Fundamental Mathematics;Elementary Geometry;Which of the following sets of side lengths can form a valid triangle?;\{4, 5, 6\};\{3, 4, 8\};\{5, 5, 10\};\{2, 3, 6\};2;2;
32;512;Fundamental Mathematics;Elementary Geometry;Which of the following is a valid criterion for triangle congruence?;Two congruent sides and the included angle.;Two congruent angles and a non-included side.;Three congruent angles.;Two congruent sides and a non-included angle.;2;2;
33;513;Fundamental Mathematics;Elementary Geometry;Consider a triangle with sides of length $5$ cm, $6$ cm, and $7$ cm. Which of the following best describes this triangle?;The triangle is scalene.;The triangle is isosceles.;The triangle is equilateral.;The triangle is right-angled.;2;2;
34;514;Fundamental Mathematics;Elementary Geometry;If an interior angle of a triangle measures $110^\circ$, what is the measure of its corresponding exterior angle?;$70^\circ$;$110^\circ$;$180^\circ$;$20^\circ$;2;2;
35;515;Fundamental Mathematics;Elementary Geometry;In a convex quadrilateral, the diagonals are congruent and bisect each other but are not perpendicular. The quadrilateral is a: $ $;Rectangle;Rhombus;Square;Parallelogram;3;3;
36;516;Fundamental Mathematics;Elementary Geometry;In a regular hexagon, which statement correctly describes its symmetries?;There are six lines of symmetry and rotational symmetry of order six.;There are three lines of symmetry and rotational symmetry of order three.;There are six lines of symmetry and rotational symmetry of order three.;There are four lines of symmetry and rotational symmetry of order six.;3;3;
37;517;Fundamental Mathematics;Elementary Geometry;A polyhedron has 12 vertices and 30 edges. How many faces does it have?;\boxed{20};\boxed{18};\boxed{22};\boxed{15};3;3;
38;518;Fundamental Mathematics;Elementary Geometry;Which of the following is the correct number of diagonals in a regular octagon?;\boxed{20};\boxed{28};\boxed{24};\boxed{40};2;2;
39;519;Fundamental Mathematics;Elementary Geometry;How many diagonals does a convex polygon with six sides have?;9;15;12;18;2;3;
40;520;Fundamental Mathematics;Elementary Geometry;What is the formula to calculate the number of diagonals in a polygon with $ n $ sides?;\displaystyle \frac{n(n - 3)}{2};\displaystyle \frac{n(n - 2)}{2};\displaystyle n(n - 3);\displaystyle \frac{n(n + 1)}{2};2;2;
41;521;Fundamental Mathematics;Elementary Geometry;If a prism has a base that is a hexagonal (6-sided) polygon, how many edges does it have?;\boxed{18};\boxed{12};\boxed{8};\boxed{6};2;2;
42;522;Fundamental Mathematics;Elementary Geometry;A prism has a base that is a regular hexagon. How many edges does this prism have?;$18$;$12$;$24$;$9$;2;2;
43;523;Fundamental Mathematics;Elementary Geometry;A hexagonal pyramid has a base with 6 sides. How many faces does it have?;\boxed{7};\boxed{8};\boxed{6};\boxed{12};3;3;
44;524;Fundamental Mathematics;Elementary Geometry;In a Cartesian coordinate system, three consecutive vertices $A$ and $B$ of a parallelogram $[ABCD]$ are given, along with the midpoint $M$ of its diagonals. If the coordinates of points $A$, $B$, and $M$ are $(0,0)$, $(2,0)$, and $(3,1)$ respectively, what are the coordinates of points $C$ and $D$?;$C(6,2)$ and $D(4,2)$;$C(4,2)$ and $D(6,2)$;$C(6,1)$ and $D(4,1)$;$C(5,2)$ and $D(3,2)$;2;2;
45;1256;Fundamental Mathematics;Elementary Geometry;If a prism has a pentagonal base, how many edges does it have?;15;10;12;7;2;2;
46;1645;Fundamental Mathematics;Elementary Geometry;How many diagonals does a decagon (10-sided polygon) have?;35;45;40;70;2;2;
47;1782;Fundamental Mathematics;Elementary Geometry;A convex polygon has 6 sides. How many diagonals does it have?;9;12;18;6;2;2;
48;1785;Fundamental Mathematics;Elementary Geometry;The sum of the number of edges and vertices of a prism is 30. Choose the right answer.;The solid is a hexagonal prism.;The solid is a pentagonal prism.;The solid is a heptagonal prism.;The solid is an octagonal prism.;2;2;
49;1794;Fundamental Mathematics;Elementary Geometry;If a prism has a base that is an $ n $-sided polygon, which expression correctly gives the total number of edges of the prism?;\boxed{3n};\boxed{2n};\boxed{n + 2};\boxed{2n + 2};2;2;
50;1797;Fundamental Mathematics;Elementary Geometry;How many faces does a pentagonal prism have?;7;6;8;10;2;2;
51;1799;Fundamental Mathematics;Elementary Geometry;If the base of a prism is a heptagon, how many faces does the prism have?;9;7;8;14;3;3;
52;1809;Fundamental Mathematics;Elementary Geometry;Which statement is incorrect regarding a pentagonal pyramid?;It has 10 edges.;It has 15 edges.;It has 7 faces.;It has 5 vertices.;2;2;
53;1814;Fundamental Mathematics;Elementary Geometry;What is the number of faces of an octagonal prism?;\boxed{10};\boxed{8};\boxed{9};\boxed{12};2;2;
54;1820;Fundamental Mathematics;Elementary Geometry;Which statement is true about regular polyhedrons?;Only the five Platonic solids are regular polyhedrons.;All prisms with regular bases are regular polyhedrons.;A pyramid with a regular hexagon base is a regular polyhedron.;A regular octahedron can have a square base.;5;5;
55;1831;Fundamental Mathematics;Elementary Geometry;How many diagonals does a convex decagon have? $\displaystyle \text{Use the formula } d = \frac{n(n - 3)}{2}$.;\boxed{35};\boxed{70};\boxed{40};\boxed{50};3;3;
56;2107;Fundamental Mathematics;Elementary Geometry;If a prism has a base that is a decagon (10-sided polygon), how many edges does it have?;30;20;25;35;3;3;
57;2109;Fundamental Mathematics;Elementary Geometry;Which statement is incorrect regarding the number of diagonals in a regular pentagon?;The regular pentagon has 5 diagonals.;The regular pentagon has 2 diagonals.;The regular pentagon has 7 diagonals.;The regular pentagon has 10 diagonals.;1;1;
58;2111;Fundamental Mathematics;Elementary Geometry;Which transformation is equivalent to reflecting a figure over line $ m $ and then translating it along line $ m $?;A glide reflection;A rotation about a point on line $ m $;A reflection over line $ m $;A translation along line $ m $;3;3;
59;2113;Fundamental Mathematics;Elementary Geometry;A regular hexagon allows for rotational symmetries. What are the amplitudes of such rotation symmetries?;$60^\circ$, $120^\circ$, $180^\circ$, $240^\circ$, $300^\circ$, and $360^\circ$;$30^\circ$, $60^\circ$, $90^\circ$, $120^\circ$, $150^\circ$, and $180^\circ$;$60^\circ$, $120^\circ$, $180^\circ$, $240^\circ$, and $300^\circ$;$60^\circ$, $120^\circ$, $180^\circ$, $240^\circ$, $300^\circ$, and $420^\circ$;3;3;
60;2115;Fundamental Mathematics;Elementary Geometry;A hexagonal prism has how many faces?;8;6;10;12;3;3;
61;2117;Fundamental Mathematics;Elementary Geometry;Consider triangle $DEF$ with angles measuring $(2x + 10)^\circ$, $(3x - 5)^\circ$, and $(x + 25)^\circ$. Determine which angle has the largest amplitude.;\angle DEF;\angle DFE;\angle EDF;All angles have the same amplitude.;2;2;
62;2119;Fundamental Mathematics;Elementary Geometry;What is the sum of the amplitudes of the exterior angles of a convex quadrilateral?;360^\circ;180^\circ;540^\circ;720^\circ;2;2;
63;2121;Fundamental Mathematics;Elementary Geometry;In a quadrilateral, the diagonals are equal in length, bisect each other, and are perpendicular. The quadrilateral is a: $ $;Square;Rectangle;Rhombus;Isosceles trapezoid;3;3;
64;2123;Fundamental Mathematics;Elementary Geometry;What is the sum of the internal angles of a convex quadrilateral?;$S_i = (4 - 2) \times 180^\circ = 360^\circ$;$S_i = (4 - 1) \times 180^\circ = 540^\circ$;$S_i = 4 \times 180^\circ = 720^\circ$;$S_i = (4 + 1) \times 180^\circ = 900^\circ$;2;2;
65;2125;Fundamental Mathematics;Elementary Geometry;Which statement is correct about a prism with a base that is an $ n $-sided polygon?;It has $ 3n $ edges.;It has $ 2n $ edges.;It has $ n + 2 $ vertices.;It has $ n + 1 $ faces.;3;3;
66;493;Fundamental Mathematics;Elementary Geometry;What is the sum of the measures of the exterior angles of any triangle?;$360^\circ$;$180^\circ$;$540^\circ$;$720^\circ$;2;2;
67;1257;Fundamental Mathematics;Elementary Geometry;What is the sum of the interior angles of a pentagon?;540^\circ;360^\circ;720^\circ;450^\circ;2;2;
68;508;Fundamental Mathematics;Elementary Geometry;A hexagonal prism has a base polygon with 6 sides. How many edges does it have?;$18$;$12$;$14$;$16$;3;3;
