id;topic;subtopic;question;correct;incorrect1;incorrect2;incorrect3;pdf_material
523;Fundamental Mathematics;Elementary Geometry;The diagonal of a polygon is:;A straight line segment whose endpoints are two non-consecutive vertices.;A straight line segment uniting the median points of two consecutive sides.;A straight line through two non-consecutive vertices.;A semi-straight line whose origin is one of the vertices of the polygon and goes through the opposite vertice.;257,260,264,265
524;Fundamental Mathematics;Elementary Geometry;In a cartesian referential two consecutive vertices $A$ and $B$, of a parallelogram $\left[ABCD\right]$ were marked, together with point $M$ corresponding to the intersection of its diagonals. Knowing that the coordinates of points $A$, $B$ and $M$ are  $\left(-1,-3\right)$, $\left(3,-3\right)$  and $\left(2,0\right)$, respectively, the coordinates of points $C$ and $D$ are:;$C(5,3)$ and $D(1,3)$;$C(5,2)$ and $D(3,2)$;$C(2,3)$ and $D(1,3)$;$C(5,3)$ and $D(3,2)$;260
1256;Fundamental Mathematics;Elementary Geometry;If a triangle has a square angle and the two adjacent sides are equal in length, what are the other two angles in the triangle?;45 degrees each;90 degrees and 0 degrees;33 degrees each;90 degrees each;257,261,262,263,264,265,270
1257;Fundamental Mathematics;Elementary Geometry;How many sides does a square have?;4;3;2;12;257,260,264
1645;Fundamental Mathematics;Elementary Geometry;Which are the polygons? Mark the correct answer.;B, D, E, F and G.;D, E and G.;A, D, E, G and H.;B, C and F.;257,260,264,265
1782;Fundamental Mathematics;Elementary Geometry;T is an isosceles right triangle. Select the option that corresponds to the length of the sides of T.;$2cm$, $2cm$, $2\sqrt{2}cm$.;$2cm$, $2cm$, $4cm$.;$2cm$, $2cm$, $8cm$.;$2cm$, $2cm$, $\sqrt{2}cm$.;257,260,264
1785;Fundamental Mathematics;Elementary Geometry;The sum of the number of faces with the number of vertices of a solid is 20. Choose the right answer.;The solid is a enneagonal pyramid.;The solid is a decagonal pyramid.;The solid is a decagonal prism.;The solid is a enneagonal prism.;265,268
1794;Fundamental Mathematics;Elementary Geometry;Select the correct statement.;If a polygon is regular, then their diagonals are congruent.;If a polygon has two pairs of parallel sides, then it is a parallelogram.;If a polygon has four right angles, then it is a rectangle.;If a polygon is not regular, then it doesn’t have reflection symmetries.;257,261,262,265,270
1797;Fundamental Mathematics;Elementary Geometry;How many diagonals can we trace on a decagon?;35;20;23;12;257,260,264,265
1799;Fundamental Mathematics;Elementary Geometry;Indicate which of the following geometrical transformations is not an isometry.;Homotetia of centre $\left(0, 0\right)$ and ratio 4.;Homotetia of centre $\left(-2, 2\right)$ and ratio $-1$.;Rotation of centre $\left(-2,2\right)$ and amplitude $45^\circ$.;Rotation of centre $\left(0,0\right)$ and amplitude $180^\circ$.;265,268
1809;Fundamental Mathematics;Elementary Geometry;Select the wrong statement.;The lateral faces of a quadrangular prism are always perpendicular to the bases.;All the opposite faces of any parallelepiped are parallel.;The lateral faces of all prisms are parallelograms.;All cubes are prisms.;257,260,265,268
1814;Fundamental Mathematics;Elementary Geometry;Select the wrong statement.;The base of a pyramid must be convex polygon.;The base of a pyramid can be any polygon.;The apex of a pyramid is the intersection point of all the lateral edges.;The lateral faces of any pyramid are triangles.;257,265,268
1820;Fundamental Mathematics;Elementary Geometry;Select the true statement.;Prisms and pyramids can be non-convex polyhedrons.;All pyramids with three lateral faces are platonic solids.;Prisms and pyramids are regular polyhedrons.;The bases of prisms and pyramids are always regular polygons.;257,265
1831;Fundamental Mathematics;Elementary Geometry;Choose the wrong statement.;In a translation, the orientation of the angles is inverted.;Translation, rotations, reflections and sliding reflections are isometries.;In sliding reflections the orientation of the angles is inverted.;There are homotheties that preserve the orientation of directed line segments.;257,260,261,262,264,270
2107;Fundamental Mathematics;Elementary Geometry;A triangle has no diagonals. A quadrilateral has two diagonals. A pentagon has five diagonals. How many diagonals a fifty side polygon have?;1175 diagonals;1075 diagonals;1125 diagonals;1225 diagonals;257,260,261,262,263,264,265,270
2109;Fundamental Mathematics;Elementary Geometry;Consider that to a square of side size 4cm one applies a centre homotetia isotropic scaling on the square's vertexes and ratio $r$. Select the wrong statement.;If $r=3$ the area of the resulting square is triple of the starting square.;If $r >1$ the perimeter of the resulting square is r times bigger than the perimeter of the original square;If $\left|r\right|=1$ the homotetia is an isometry;If $\left|r\right|>1$ the length of the size of the transformed square is $4\left|r\right|$cm.;257,260,264
2111;Fundamental Mathematics;Elementary Geometry;Select the true statement.;In the sliding reflection the translation vector has the direction of the reflection axis.;Translation preserves the direction of straight line segments but cannot preserve it's orientation.;Rotation and reflection may not be isometries.;An isometry always respects the orientation of the angles.;257,260,261,262,264,270
2113;Fundamental Mathematics;Elementary Geometry;A square allows for four rotation symmetries. What are the amplitudes of such rotation symmetries:;$90^\circ$, $180^\circ$, $270^\circ$ and $360^\circ$.;$45^\circ$, $90^\circ$, $135^\circ$ and $180^\circ$.;$45^\circ$, $90^\circ$, $135^\circ$ and $180^\circ$.;$90^\circ$, $180^\circ$, $360^\circ$ and $720^\circ$.;258,259,261,262,265,270
2115;Fundamental Mathematics;Elementary Geometry;A regular pentagon allows for:;5 reflection symmetries and 5 rotation symmetries.;5 reflection symmetries and 10 rotation symmetries.;10 reflection symmetries and 5 rotation symmetries.;10 reflection symmetries and 10 rotation symmetries.;258,259,265
2117;Fundamental Mathematics;Elementary Geometry;Consider the $ABC$ triangle whose perimeter is 39 units. Knowing that $\overline{AB}=3x-2$, $\overline{BC}=4x+1$ and $\overline{AC}=2x+4$, state which of the triangles angles has the largest amplitude.;$\angle CAB$.;$\angle ABC$.;$\angle BCA$.;All angles have the same amplitude.;261,262,263,264,270
2119;Fundamental Mathematics;Elementary Geometry;Mark the wrong statement:;The sum of the amplitudes of the external angles of a triangle always equals $180^\circ$.;The sum of the amplitudes of the internal angles of a triangle always equals $180^\circ$.;The amplitude of each external angle of a triangle equals the the sum of the amplitudes of both nonadjacent internal angles.;In a triangle the longest size is always opposed to the angle with the biggest amplitude.;261,262,263,264,270
2121;Fundamental Mathematics;Elementary Geometry;In a quadrilateral $[ABCD]$ the diagonals are orthogonal, they bisect the internal angles, they are the only symmetry axis and intersect in the median point which is a symmetry center. $[ABCD]$ is a:;Rhombus.;Square.;Rectangle.;Oblique parallelogram.;260,261,262,270
2123;Fundamental Mathematics;Elementary Geometry;The sum of the internal angles $\left(S_i\right)$ of any convex polygon is:;$S_i = \left(n - 2\right)\times 180^\circ$, where $n$ is the number of sides of the polygon.;$S_i = n\times 180^\circ$, where $n$ is the number of sides of the polygon.;$S_i = \left(n + 2\right)\times 180^\circ$, where $n$ is the number of sides of the polygon.;$S_i = \left(n - 2\right)\times 360^\circ$, where $n$ is the number of sides of the polygon.;261,262,270
2125;Fundamental Mathematics;Elementary Geometry;Choose the correct statement.;An external angle of a regular polygon can measure $15^\circ$.;There is a five-sided convex polygon whose internal angles have amplitudes equal to $95^\circ$, $100^\circ$, $115^\circ$, $70^\circ$ and $120^\circ$.;An internal angle of a regular polygon can measure $50^\circ$.;If a given polygon is regular. The external angles may not all have the same amplitude.;265,268
