id,id_lect,description,topic,subtopic,question,level,answer1,answer2,answer3,answer4,file_name,file_ext,date,validate,validate_date,validate_by,newlevel,algorithmlevel,checked
96,39,"",4,3,Differentiate $\displaystyle{y = 4x^{2}{(e^{3x} + \cos(x))}}$.,Advanced,$y'=\displaystyle{12x^{2}e^{3x}+8xe^{3x}-4x^{2}\sin(x) +8x\cos(x)}$  ,$y'=\displaystyle{12x^{2}e^{3x}-8xe^{3x}-4x^{2}\sin(x) +8x\cos(x)}$ ,$y'=\displaystyle{12x^{2}e^{3x}+8xe^{3x}+4x^{2}\sin(x) +8x\cos(x)}$  ,$y'=\displaystyle{12x^{2}e^{3x}-8xe^{3x}+4x^{2}\sin(x) +8x\cos(x)}$  ,"","",2019-03-11 09:57:00+00,1,2019-08-15 09:37:39+00,37,3,3,1
97,39,"",4,3,Differentiate $\displaystyle{y = (4x^{3}-x)(5-5x)}$.,Basic,$y'=\displaystyle{5(-16x^{3}+12x^{2}+2x-1)}$ ,$y'=\displaystyle{5(16x^{3}+12x^{2}+2x-1)}$ ,$y'=\displaystyle{5(16x^{3}+12x^{2}+2x+1)}$ ,$y'=\displaystyle{5(-16x^{3}+12x^{2}+2x-5)}$ ,"","",2019-03-11 10:18:55+00,1,2019-05-04 17:00:46+00,37,1,1,1
98,39,"",4,3,Differentiate $\displaystyle{y = (2x^{2}+4x^{3})(3x^{3}-4x^{2})}$.,Basic,$\displaystyle{y'=72x^{5}-50x^{4}-32x^{3}}$  ,$\displaystyle{y'=72x^{5}+50x^{4}+32x^{3}}$  ,$\displaystyle{y'=72x^{5}-50x^{4}+32x^{3}}$  ,$\displaystyle{y'=72x^{5}+50x^{4}-32x^{3}}$  ,"","",2019-03-11 10:23:31+00,1,2019-08-15 09:36:52+00,37,1,1,1
100,39,"",4,3,Differentiate $\displaystyle{y = (4x^{3}-x)(5-5x)}$ and find the value of ${\dfrac{dy}{dx}}$ if ${x=1}$.,Basic,$-15$,$15$,$13$,$-13$,"","",2019-03-11 10:31:25+00,1,2019-05-23 15:23:51+00,37,2,4,1
101,39,"",4,3,Differentiate  $\displaystyle{y = (4x^\frac{3}{2})\tan\left(x\right)}$.,Advanced,$y'=6\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$,$y´=-6\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$,$y´=4\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$,$y´=-4\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$,"","",2019-03-11 10:46:39+00,1,2019-08-15 09:25:06+00,37,2,4,1
102,50,"",7,2,"Make $r$ the subject of the expression

$p=q+r$",Basic,$r=p-q$,$r=p+q$,$r=\frac{p}{q}$,$r=q-p$,,,2019-03-20 08:26:08+00,1,2019-05-09 16:41:55+00,37,1,4,1
104,50,"",7,2,"Make $d$ the subject of the expression

$b=c-d$",Basic,$d = c - b$,$d =b + c$,$d = \frac{b}{c}$,$d = b - c$,,,2019-03-20 08:34:41+00,1,2019-05-09 16:42:23+00,37,1,4,1
108,50,"",7,2,"Make $a$ the subject of the expression

$mz=ad$",Basic,$a=\frac{mz}{d}$,$a=\frac{d}{mz}$,$a=d+mz$,$a=d-mz$,,,2019-03-20 13:54:01+00,1,2019-04-23 16:31:34+00,37,1,4,1
112,50,"",7,2,"Make $d$ the subject of the expression

$p=\frac{\pi d}{2}$",Basic,$d=\frac{2p}{\pi}$,$d={\frac{\pi}{2}}-p$,$d=\frac{\pi}{2p}$,$d=\frac{2\pi}{p}$,,,2019-03-20 14:16:48+00,1,2019-04-23 11:26:23+00,37,1,4,1
113,50,"",7,2,"Consider $m \neq 0$. Make $x$ the subject of the expression

$y=mx+c$",Basic,$x=\frac{y-c}{m}$,$x=\frac{y}{m+c}$,$x=m+c-y$,$x=\frac{y-m}{c}$,,,2019-03-20 14:26:08+00,1,2019-09-26 03:28:42+00,37,1,4,1
114,50,"",7,2,"Make $r$ the subject of the expression

$A=4\pi r^2$",Basic,$r=\pm \sqrt\frac{A}{4 \pi}$,$r=\pm \sqrt\frac{4 \pi}{A}$,$r=\frac{A^2}{4\pi}$,$r=\sqrt{4\pi-A}$,,,2019-03-21 06:20:42+00,1,2019-05-09 16:46:46+00,37,1,4,1
117,50,"",7,2,"Consider $m \neq 0$. Make $v$ the subject of the expression

$K=\frac{1}{2}mv^2$",Advanced,$v=\sqrt\frac{2K}{m}$,$v=\sqrt\frac{Km}{2}$,$v=\sqrt\frac{2}{Km}$,$v=\frac{2K^2}{m}$,,,2019-03-21 06:36:06+00,1,2019-05-09 16:47:12+00,37,2,3,1
118,50,"",7,2,"Make $r$ the subject of the expression

$v=\dfrac{2}{3}\pi r^3$",Basic,\[ r = \sqrt[3]{\frac{3v}{2\pi}} \],\[r = \sqrt[3]{\frac{2\pi}{3v}} \],$r= \dfrac{2\pi}{3v^3}$,\[ r = \sqrt[3]{\frac{2v}{3\pi}} \],,,2019-03-21 07:03:26+00,1,2019-05-09 16:47:36+00,37,2,1,1
120,50,"",7,2,"Make $x$ the subject of the expression

$y=\displaystyle \sqrt\frac{3x}{4k}$",Basic,$x=\dfrac{4}{3}ky^2$,$x=\dfrac{3}{4}ky^2$,$x=\dfrac{4}{3}k^2y$,$x=\displaystyle \sqrt\frac{3y}{4k}$,,,2019-03-21 08:47:48+00,1,2019-05-09 16:48:00+00,37,2,1,1
121,50,"",7,2,"Make $b$ the subject of the expression

$\frac{p}{q}=\sqrt\frac{(a +2b)}{(a-2b)}$",Advanced,$b=\frac{a(p^2-q^2)}{2(p^2 +q^2)}$,$b=\frac{2(p^2 +q^2)}{a(p^2-q^2)}$,$b=\sqrt\frac{q}{-p}$,$b=-\sqrt\frac{1+q}{1-p}$,,,2019-03-21 08:54:10+00,1,2019-05-09 16:48:25+00,37,2,3,1
122,52,"",18,7,"Let  $A=\left( \begin{array}{rr}
1 & 3 \\ 
2 & -1 \end{array}
\right)$ and $f\left(x\right)=x^3-2x+5I_{2\times2}$. Find $f(A)$.",Basic,"$\left( \begin{array}{rr}
10 & 15 \\ 
10 & 0 \end{array}
\right)$","$\left( \begin{array}{rr}
10 & 15 \\ 
10 & -5 \end{array}
\right)$","$\left( \begin{array}{rr}
2 & 4 \\ 
3 & 0 \end{array}
\right)$","$\left( \begin{array}{rr}
10 & -1 \\ 
1 & 14 \end{array}
\right)$",,,2019-03-24 06:08:35+00,1,2019-11-15 07:14:57+00,38,1,2,1
123,52,"",18,7,"Suppose that $A=\left( \begin{array}{rrr}
2 & 0 & -1 \\ 
3 & 1 & 0 \\ 
-2 & 1 & 3 \end{array}
\right)$.

Find matrix $B$ such that matrices $A$ and $B$ are inverses.",Basic,"$B=\left( \begin{array}{rrr}
3 & -1 & 1 \\ 
-9 & 4 & -3 \\ 
5 & -2 & 2 \end{array}
\right)$","$B=\left( \begin{array}{rrr}
2 & 3 & -2 \\ 
0 & 1 & 1 \\ 
-1 & 0 & 3 \end{array}
\right)$","$B=\left( \begin{array}{rrr}
1 & 0 & 0 \\ 
0 & 1 & 0 \\ 
0 & 0 & 1 \end{array}
\right)$",insufficient information to find $B$,,,2019-03-24 06:10:48+00,1,2019-05-07 07:31:38+00,52,1,2,1
124,52,"",18,7,"Find ${\left(C^T \cdot B-6 \cdot I^{-1}\right)}^2$, where $B=\left( \begin{array}{rrr}
2 & 1 & 1 \\ 
0 & 0 & 3 \end{array}
\right)$, $C=\left( \begin{array}{rrr}
3 & 3 & 1 \\ 
1 & -2 & 2 \end{array}
\right)$, and $I$  -- identity matrix.",Advanced,"$\left( \begin{array}{rrr}
30 & -3 & -3 \\ 
-24 & 24 & 42 \\ 
8 & 4 & 10 \end{array}
\right)$","$\left( \begin{array}{rrr}
55 & 27 & 57 \\ 
36 & 19 & 12 \\ 
28 & 14 & 45 \end{array}
\right)$","$\left( \begin{array}{rrr}
79 & 39 & 81 \\ 
60 & 31 & 0 \\ 
36 & 18 & 73 \end{array}
\right)$",given operation is not valid,,,2019-03-24 06:13:10+00,1,2019-05-07 07:31:57+00,52,2,1,1
125,52,"",18,7,"Find $M^2+(A^T\cdot B)^{-1}$, where $A=\left( \begin{array}{rrr}
-1 & 3 & 2 \end{array}
\right)$, $B=\left( \begin{array}{rrr}
-2 & 4 & 1 \end{array}
\right)$, and $M=\left( \begin{array}{rrr}
7 & 2 & 1 \\
-1 & 3 & 0  \\
2 & 0 & -2 \end{array}
\right)$.",Basic,given operation is not valid,"$\left( \begin{array}{rrr}
11 & 4 & 0 \\ 
-6 & 3 & 1 \\ 
23 & 14 & -8 \end{array}
\right)$","$\left( \begin{array}{rrr}
49 & 20 & 5 \\ 
-10 & 7 & -1 \\ 
10 & 4 & 6 \end{array}
\right)$","$\left( \begin{array}{rrr}
7 & 2 & 1 \\
-1 & 3 & 0  \\
2 & 0 & -2 \end{array}
\right)$",,,2019-03-24 06:14:59+00,1,2019-05-07 07:32:21+00,52,2,2,1
126,52,"",18,7,"Suppose that $A=\left( \begin{array}{rrr}
0 & 0 & 1 \\ 
4 & -1 & 2 \\ 
-1 & 0 & -2 \end{array}
\right)$ and $B=\left( \begin{array}{rrr}
4 & 1 & 0 \\ 
-4 & -2 & 4 \\ 
0 & 3 & 1 \end{array}
\right)$.

Find $\mathrm{det} \left(X\right)$ if  $A \cdot X\cdot B -B^2=0$.",Advanced,$52$,$0$,$-11$,given operation is not valid,,,2019-03-24 06:16:08+00,1,2019-05-07 07:32:58+00,52,5,3,1
127,52,"",18,7,"Suppose that $A=\left( 
 \begin{array}{rrr}
2 & 1 & 3 \\ 
0 & 0 & 5  \\ 
-1 & -2 & 1  \\ 
3 & 1 & 2 \end{array} \right)$, $B=\left( \begin{array}{rrr}
1 & 1 & 0 \\ 
2 & 1 & 1 \\ 
1 & 1 & 1 \end{array}
\right)$, and $C=\left(  \begin{array}{rrr}
1 & 2 & 0  \\ 
2 & 4 & 1  \\ 
3 & 6 & 2  \\ 
-4 & -8 & 1  \end{array}
\right)$.

Which matrix has the rank $2$ ?",Basic,$C$, $A$,$B$,none of the given matrices,,,2019-03-24 06:17:26+00,1,2019-05-07 07:33:15+00,52,1,2,1
128,52,"",18,7,"Suppose that the rank of matrix $A$ is $n, n\neq 0$. Which of the following statements is correct?",Advanced,the number of non-zero rows is $n$,$\mathrm{det} \left(A \right) =n$,$A$ is invertible matrix,$\mathrm{det} \left(A \right) \leq n $,,,2019-03-24 06:18:31+00,1,2019-05-07 07:33:46+00,52,5,3,1
129,52,"",18,7,"Let $A=\left( \begin{array}{rr}
1 & 2 \\ 
3 & 4 \end{array}
\right)$ and $B=\left( \begin{array}{rr}
0 & 2 \\ 
3 & k \end{array}
\right)$.

For what value of $k$ the matrices $A$ and $B$ will be commuting?",Basic,$3$,$0$,$-4$,such value is not possible,,,2019-03-24 06:19:40+00,1,2019-05-07 07:34:37+00,52,3,1,1
130,52,"",18,7,"What is the determinant of the matrix  $A=\left( 
 \begin{array}{rrrr}
3 & 2 &  1 & -2  \\ 
1 & 1 &  2 & 3  \\ 
 0 & 1 & 0 & -1  \\ 
2 & 3 &  4 & 5 \end{array}
\right)$?",Basic,$0$,$-1$,$2$,$1$,,,2019-03-24 06:20:31+00,1,2019-05-07 07:35:16+00,52,1,2,1
131,52,"",18,7,"What is the determinant of the matrix  $A=\left( 
 \begin{array}{rrrr}
x & 0 &  0 & -x  \\ 
0 & -x & -1 & 1  \\ 
 1 & 0 & x & -1  \\ 
x & 0 &  0 & 1 \end{array}
\right)$, $x\neq 0$?",Basic,$-x^3 \left(1+x \right)$,$x^2+x^4$,$x^3+x^4$,$0$,,,2019-03-24 06:21:41+00,1,2019-05-07 07:35:44+00,52,3,1,1
132,52,"",18,7,Suppose that the size of matrix $A$ is at least $2\times 2$. Which of the following statements is correct?,Advanced, ${\mathrm{det} \left(A^{-1}\right)\ }=\frac{1}{\mathrm{det} \left(A\right)\ }$,"${\mathrm{det} \left(k \cdot A\right)\ }=k \cdot {\mathrm{det} \left(A\right), k\neq 0 }$",${\mathrm{det} \left(A^{-1}\right)\ }=-{\mathrm{det} \left(A\right)\ }$,${\mathrm{det} \left(A^T\right)\ }=-{\mathrm{det} \left(A\right)\ }$,,,2019-03-24 06:22:39+00,1,2019-05-07 07:36:05+00,52,5,3,1
133,52,"",18,7,"Matrix $\left( \begin{array}{rrrr}
1 & -2 &  4 & -10  \\ 
 0 & 4 &  7 & -3  \\ 
 0 & 0 &  -2 & 17  \\ 
 0& 0 &  0 & 1 \end{array} \right)$ was derived from matrix $A$ after row operations such that 
$R_2\leftrightarrow R_3,   R_2 \leftarrow 2R_2,  R_3\leftarrow R_3+2R_1,$ and $R_4\leftarrow R_4+3R_1$. What is the determinant of the matrix $A$?",Advanced,$4$,insufficient information to solve,$-8$,$16$,,,2019-03-24 06:23:41+00,1,2019-05-07 07:37:43+00,52,5,3,1
134,52,"",18,7,"Which of the following statements is correct for non-zero values of $a, b, c, d, e, f, g, h, i, k$?",Basic,"$\left| \begin{array}{rrr}
a & b & c \\ 
a & b & c \\ 
d & e & f \end{array}
\right|=0 $","$\left| \begin{array}{rrr}
a & b & c \\ 
-d & -e & -f \\ 
g & h & i \end{array}
\right|=\left| \begin{array}{rrr}
a & b & c \\ 
d & e & f \\ 
g & h & i \end{array}
\right|$","$\left| \begin{array}{rrr}
a & b & c \\ 
d & e & f \\ 
g & h & i \end{array}
\right|=-\left| \begin{array}{rrr}
a & d & g \\ 
b & e & h \\ 
c & f & i \end{array}
\right|$","$\left| \begin{array}{rrr}
k \cdot a & k\cdot b & k\cdot c \\ 
k\cdot d & k\cdot e & k\cdot f \\ 
k\cdot g & k\cdot h & k\cdot i \end{array}
\right|=k\cdot \left| \begin{array}{rrr}
a & b & c \\ 
d & e & f \\ 
g & h & i \end{array}
\right|$",,,2019-03-24 06:24:52+00,1,2019-05-07 07:38:10+00,52,3,1,1
135,52,"",18,7,"Let $A=\left( \begin{array}{rrr}
-1 & 2 & 0 \\ 
2 & -4 & 0 \end{array}
\right)$. Which of the following statements is correct?",Basic,${\mathrm{det} \left(A^T\right) }$ is undefined,$A$ is symmetric ,$A$ is invertable,${\mathrm{rank} (A)\ }=2$,,,2019-03-24 06:25:57+00,1,2019-05-07 07:38:44+00,52,2,2,1
136,52,"",18,7,"Let $A=\left( \begin{array}{rrr}
-1 & 2 & 1 \\ 
7 & 1 & 0 \end{array}
\right)$,  $B=\left( \begin{array}{rr}
-1 & 1 \\ 
7 & 1 \\ 
2 & 0 \end{array}
\right),$ and $C=\left( \begin{array}{rr}
-1 & 2 \\ 
0 & 1 \end{array}
\right)$. Which of the following statements is correct?",Basic,"$ C + A \cdot B=\left( \begin{array}{rr}
16 & 3 \\ 
0 & 9 \end{array}
\right)$","$B\cdot A+C=\left( \begin{array}{rrr}
7 & 1 & -1 \\ 
0 & 16 & 7 \\ 
-2 & 4 & 2 \end{array}
\right)$","$C\cdot A^T+B=\left( \begin{array}{rr}
3 & -1 \\ 
24 & 8 \\ 
0 & -7 \end{array}
\right)$","$A\cdot B\cdot C=\left( \begin{array}{rr}
8 & 0 \\ 
35 & -17 \end{array}
\right)$",,,2019-03-24 06:27:14+00,1,2019-05-07 07:39:04+00,52,2,2,1
137,52,"",18,7,"Find the inverse of $A=\left( 
 \begin{array}{rrrr}
1 & 3 &  1 & 2  \\ 
 5 & 8 &  5 & 3  \\ 
 0 & 4 &  0 & 0  \\ 
 2 & 3 &  2 & 8 \end{array}
\right)$.",Basic,"impossible, the inverse is undefined","$\left(  \begin{array}{rrrr}
1 & 1/3 &  1 & 1/2  \\ 
 1/5 & 1/8 & 1/5 & 1/3  \\ 
 0 & 1/4 &  0 & 0  \\ 
1/2 & 1/3 &  1/2 & 1/8 \end{array}
\right)$ ","$ \left( \begin{array}{rrrr}
-136 & 16 &  49 & 28  \\ 
 0 & 0 &  0 & 0  \\ 
 136 & -16 & -49 & -28 \\ 
0 & 0 & 0 & 0 \end{array} \right)$","$\left(  \begin{array}{rrrr}
1 & 0 &  0 & 0  \\ 
 0 & 1 &  0 & 0  \\ 
 0 & 0 &  1 & 0  \\ 
 0 & 0 &  0 & 1 \end{array}
 \right)$",,,2019-03-24 06:28:16+00,1,2019-05-07 07:42:57+00,52,1,2,1
138,52,"",18,7,"Compute the determinant of $A=\left( \begin{array}{rrrr}
1 & -3 &  1 & 2  \\ 
 -2 & 1 &  2 & 1  \\ 
 0 & 0 &  -1 & 0   \\ 
2 & 4 &  2 & 1 \end{array} \right)$. ",Basic,$35$,$11$,$-1$,"impossible, the determinant is undefined",,,2019-03-24 06:29:21+00,1,2019-05-07 07:45:45+00,52,1,2,1
139,52,"",18,7,"Consider $A=\left( \begin{array}{rrr}
7 & 2 & 1 \\ 
0 & 3 & -1 \\ 
-3 & 4 & -2 \end{array}
\right)$. Which of the following statements is correct?",Advanced,${\mathrm{det} (A^{-1}) }=1$,${\mathrm{det} (A^T) }=0$,${\mathrm{rank} (A^{-1}) }=1$,${\mathrm{det} \left(2 \cdot A\right) }=2$,,,2019-03-24 06:30:20+00,1,2019-05-07 07:49:36+00,52,5,4,1
140,52,"",18,7,"Let $A$ be an invertible matrix and $k\neq 0$ a constant. Considering the following statements:

S1:  $\left(k\cdot A \right)^{-1}=k^{-1} \cdot A^{-1}$ and 
S2:  $\mathrm{det} \left(A^{-1} \right)=\left(\mathrm{det} \left(A \right)\right)^{-1}$,

which is the correct answer?",Advanced,S1 and S2 are both true,"S1 is true, S2 is false","S1 is false, S2 is true",S1 and S2 are both false,,,2019-03-24 06:31:18+00,1,2019-05-07 07:53:14+00,52,5,3,1
141,52,"",18,7,"If $A$ and $B$  are square matrices of order $n$, then which of the following statements is correct?",Basic,$\mathrm{det} \left(A \cdot B\right) = \mathrm{det} \left(B \cdot A\right)$,$A+B\neq B+A$,$A \cdot B=B\cdot A$,none of the options given are correct,,,2019-03-24 06:34:22+00,1,2019-05-07 07:54:04+00,52,2,2,1
142,57,"",4,3,Differentiate $y = (x^4 - 4x +1)^4$.,Basic,$\frac{dy}{dx} = 4(x^4 - 4x +1)^3(4x^3 - 4)$,$\frac{dy}{dx} = 4(x^4 - 4x +1)^3$,$\frac{dy}{dx} = 4(x^4 - 4x +1)(4x^3 - 4)$,$\frac{dy}{dx} = 4(x^4 - 4x + 1)$,,,2019-03-29 05:53:52+00,1,2019-04-04 15:07:09+00,37,1,1,1
143,57,"",4,3,Differentiate $y = \dfrac{\ln(t)}{t^2+1}$.,Basic,$\dfrac{dy}{dt} = \dfrac{t + \frac{1}{t} - 2t\ln(t)}{(t^2 +1)^2}$,$\dfrac{dy}{dt} = \dfrac{t + \frac{1}{t} + 2t \ln(t) }{(t^2 + 1)^2}$,$\dfrac{dy}{dt} = \dfrac{t^3 + \frac{1}{t} - 2t \ln(t )}{(t^2 + 1)^2}$,$\dfrac{dy}{dt} = \dfrac{t + \frac{1}{t} - (2t + 1) \ln(t )}{(t^2 + 1)^2}$,,,2019-03-29 06:16:09+00,1,2019-04-04 15:11:01+00,37,3,3,1
