id,id_lect,title,author,type,description,link,languages,file_name,file_ext,date,validate,validate_date,validate_by,clicks
46,67,Solving Exponential Equations,Dr Siobhan Curtin,3,Worked examples are included for students to go through in their own time. These notes provide the assistance students need to get to grasp solving exponential expressions., ,key_1_,Solving exponential equations.docx,docx,2020-06-24 06:23:17+00,1,2020-12-20 11:19:44+00,38,0
47,67,Solving Logarithmic Equations,Dr Siobhan Curtin,3,"Slides are presented on more solving logarithmic equations. These examples pull a number of strands of algebraic manipulation together. By using slides, students can take their time to go over each questions completely understanding how answers are arrived at. ", ,key_1_,Solving logarithmic equations.pdf,pdf,2020-06-24 06:27:16+00,1,2020-11-16 06:11:10+00,38,0
48,43,System of linear equations - 3 different methods to find the solution,UniGe,3,"We show how to solve a general square linear system associated to an invertible matrix, by using the Cramer rule, the Gauss algorithm and the inverse matrix.",No link.,key_1_,TMLS6.pdf,pdf,2020-06-24 11:19:28+00,1,2020-11-15 09:36:33+00,64,1
49,43,Systems of linear equations  - Gaussian elimination,UniGe,3,We show how to perform the Gauss algorithm to put a matrix in a row echelon form and how to use this to solve a linear system.,No link.,key_1_,TMLS7.pdf,pdf,2020-06-24 11:24:03+00,1,2020-11-15 09:41:12+00,64,0
50,43,Systems of linear equations - how many solutions?,UniGe,3,We show how to calculate the rank of a matrix by using the Gauss algorithm and how to use it to decide how many solutions a linear system has.,No link.,key_1_,TMLS9.pdf,pdf,2020-06-24 11:30:25+00,1,2020-11-15 09:38:35+00,64,1
51,43,Systems of linear equations - Gauss' method,UniGe,3,We show how to use the Gauss algorithm to decide how many solutions a linear system has and how to calculate them.,No link.,key_1_,TMLS10.pdf,pdf,2020-06-24 11:35:06+00,1,2020-11-15 09:39:29+00,64,0
52,52,GLOSSARY: A DICTIONARY FOR LINEAR ALGEBRA,Source: Massachusetts Institute of Technology   ,3,"In the glossary, a dictionary is provided, with definitions and theorems for all topics of Linear Algebra, including matrices and determinants. 
",http://web.mit.edu/18.06/www/Essays/glossary.pdf,key_1_,glossary.pdf,pdf,2020-06-25 09:07:20+00,1,2020-11-15 10:42:12+00,37,1
54,52,Revision notes of matrix and determinants,Punjab Board of Technical Education,3,"A detailed description of main definitions, facts and properties covering matrices and determinants. Explanations with examples are also given",https://www.pbte.edu.pk/text%20books/dae/math_113/Chapter_09.pdf,key_1_,revision.pdf,pdf,2020-06-25 09:32:05+00,1,2021-02-06 11:21:26+00,37,1
55,52,More about inverse matrix, W. Keith Nicholson (open textbook),3,"A chapter of an open access textbook is provided, where more information about inverse matrices, operations and properties can be learned. Exercises with answers for practicing are also available.

For those who are interested to learn more, the full book can be found here: https://lila1.lyryx.com/textbooks/OPEN_LAWA_1/marketing/Nicholson-OpenLAWA-2019A.pdf",https://lila1.lyryx.com/textbooks/OPEN_LAWA_1/marketing/Nicholson-OpenLAWA-2019A.pdf,key_1_,MatrixInverse.pdf,pdf,2020-06-25 10:40:57+00,1,2021-02-05 10:19:17+00,64,13
56,52,Properties of Determinants,Gregory Hartman (open textbooks),3,"A chapter of an open textbook is provided, where you can learn more about the properties of determinants. Exercises for practicing are also available.

For those, who are interested,  all open textbook is available here: https://open.umn.edu/opentextbooks/textbooks/fundamentals-of-matrix-algebra",https://open.umn.edu/opentextbooks/textbooks/fundamentals-of-matrix-algebra,key_1_,PropertiesOfDeterminants.pdf,pdf,2020-06-25 11:01:33+00,1,2021-02-05 10:25:13+00,64,0
66,1074,"OR - Origins, Methods, and Applications",Elisa Barros,3,"Some notes on the origin of Operational Research, its methodology and the different applications.

","",key_1_,"OR - Origins, Methods, and Applications.pdf",pdf,2020-09-30 10:48:01+00,0,,0,0
74,1666,Direct Definite Integrals,IPB,3,Resolution to a direct definite integral,"",key_1_,3.pdf,pdf,2020-10-27 14:17:31+00,1,2020-10-29 13:19:24+00,38,0
76,1666,Basic Set Operations,Roshan Poudel,3,"Concepts of union, intersection, difference and compliment of sets. Properties of sets and De Morgan's laws.",no link,key_1_,basic set operations.pdf,pdf,2020-10-29 09:36:50+00,1,2020-11-07 10:45:52+00,64,0
77,1666,Basic Concepts About Sets.,IPB,3,Definition of set. Properties and concept of empty set.,No link.,key_1_,Set Concepts.pdf,pdf,2020-10-29 09:45:28+00,1,2020-11-07 10:47:14+00,64,0
79,1666,Direct Definite Integrals,IPB,3,This is a resolution using Direct Definite Integrals.,"",key_1_,4.pdf,pdf,2020-10-29 13:01:50+00,1,2020-10-29 13:39:15+00,38,1
80,1666,Direct Definite Integrals,IPB,3,Hint,"",key_1_,5.pdf,pdf,2020-10-29 13:03:46+00,1,2020-10-29 13:40:35+00,38,0
81,1666,Direct Definite Integrals,IPB,3,Hint,"",key_1_,6.pdf,pdf,2020-10-29 13:04:46+00,1,2020-10-29 13:29:05+00,38,0
82,1666,Direct Definite Integrals,IPB,3,This is a resolution using Direct Definite Integrals.,"",key_1_,7.pdf,pdf,2020-10-29 13:06:49+00,1,2020-10-29 13:29:54+00,38,0
83,1666,Direct Definite Integrals,IPB,3,This is a resolution using Direct Definite Integrals.,"",key_1_,9.pdf,pdf,2020-10-29 13:08:41+00,1,2020-10-29 13:36:35+00,38,0
84,1666,Integration by parts,IPB,3,This is a resolution of Definite Integrals using integration by parts.,"",key_1_,10.pdf,pdf,2020-10-29 13:10:31+00,1,2020-10-29 13:35:18+00,38,1
86,1666,Direct Definite Integrals,IPB,3,This is a resolution using Direct Definite Integrals.,"",key_1_,1.pdf,pdf,2020-10-29 13:18:20+00,1,2020-10-29 13:24:06+00,38,0
87,1666,Direct Definite Integrals,IPB,3,This is a resolution using Direct Definite Integrals.,"",key_1_,2.pdf,pdf,2020-10-29 13:18:58+00,1,2020-10-29 13:20:30+00,38,0
88,1666,Integration by parts,IPB,3,Hint,"",key_1_,11.pdf,pdf,2020-10-29 13:20:09+00,1,2020-10-29 13:36:02+00,38,1
89,1666,Integration by parts,IPB,3,Hint for both functions., ,key_1_,12.pdf,pdf,2020-10-30 07:28:10+00,1,2020-10-30 09:53:20+00,38,2
90,1666,Integration by parts,IPB,3,Hint to see if it is a definite integral or an improper integral, ,key_1_,13.pdf,pdf,2020-10-30 07:29:27+00,1,2020-10-30 09:55:53+00,38,0
91,1666,Integration by parts,IPB,3,Hint,"",key_1_,14.pdf,pdf,2020-10-30 07:31:52+00,2,2020-10-30 09:59:51+00,38,0
92,1666,Integration by parts,IPB,3,This is a resolution of definite integrals using integration by parts.,"",key_1_,15.pdf,pdf,2020-10-30 07:33:53+00,2,2020-10-30 11:13:04+00,38,0
93,1666,Integration by parts,IPB,3,Hint to apply integration by parts two times, ,key_1_,16.pdf,pdf,2020-10-30 07:37:28+00,1,2020-10-30 10:05:45+00,38,0
95,1666,Definite Integrals - Trigonometric functions,IPB,3,Resolution of a definite integral involving trigonometric functions, ,key_1_,17.pdf,pdf,2020-10-30 07:42:40+00,1,2020-10-30 10:07:23+00,38,0
96,1666,Definite Integrals- Trigonometric substitution,IPB,3,Resolution to a definite integral problem using trigonometric substitution,"",key_1_,20.pdf,pdf,2020-10-30 07:48:31+00,2,2020-10-30 10:11:13+00,38,0
97,1666,Definite Integrals - Trigonometric substitution,IPB,3,Hint about the substitution needed, ,key_1_,21.pdf,pdf,2020-10-30 07:49:51+00,1,2020-10-30 10:14:17+00,38,0
98,1666,Definite Integrals - Trigonometric substitution ,IPB,3,Hint about the substitution to be done, ,key_1_,22.pdf,pdf,2020-10-30 07:52:16+00,1,2020-10-30 10:15:54+00,38,0
99,1666,Definite Integrals - Rational functions,IPB,3,Resolution to a definite integral problem using partial fractions decomposition,"",key_1_,23.pdf,pdf,2020-10-30 07:56:58+00,2,2020-10-30 10:18:50+00,38,0
100,1666,Definite Integrals - Rational functions,IPB,3,Resolution of a definite integral problem using partial fractions decomposition, ,key_1_,24.pdf,pdf,2020-10-30 07:59:18+00,1,2020-10-30 10:26:45+00,38,0
101,1666,Definite Integrals - Rational functions,IPB,3,Resolution to a definite integral problem using partial fractions decomposition,"",key_1_,25.pdf,pdf,2020-10-30 08:00:18+00,1,2020-10-30 10:28:28+00,38,0
102,1666,Definite Integrals - Rational functions,IPB,3,Resolution to a definite integral problem involving rational functions,"",key_1_,27.pdf,pdf,2020-10-30 08:02:55+00,1,2020-10-30 10:30:05+00,38,0
103,1666,Definite Integrals - Area ,IPB,3,Resolution of an Area problem using definite integrals. , ,key_1_,28.pdf,pdf,2020-10-30 08:08:31+00,1,2020-10-30 10:33:30+00,38,0
104,1666,Definite Integrals - Area,IPB,3,Resolution of an area problem using definite integrals.,   ,key_1_,area29.pdf,pdf,2020-10-30 08:12:57+00,1,2022-11-27 12:06:20+00,38,0
105,1666,Definite Integrals - Area,IPB,3,Resolution to Area problem using definite integrals.,"",key_1_,30.pdf,pdf,2020-10-30 08:15:09+00,1,2020-10-30 10:35:31+00,38,1
106,1666,Definite Integrals - Area,IPB,3,Resolution of an Area problem using definite integrals., ,key_1_,31.pdf,pdf,2020-10-30 08:18:34+00,1,2020-10-30 10:38:15+00,38,0
107,1666,Definite Integrals - Area,IPB,3,Resolution to Area problem using definite integrals.,"",key_1_,32.pdf,pdf,2020-10-30 08:20:27+00,2,2020-10-30 10:46:39+00,38,0
108,1666,Definite Integrals - Area,IPB,3,Resolution of an Area problem using definite integrals., ,key_1_,34.pdf,pdf,2020-10-30 08:21:54+00,1,2020-10-30 10:50:02+00,38,0
109,1666,Definite Integrals - Area,IPB,3,Hint,"",key_1_,35.pdf,pdf,2020-10-30 08:23:46+00,2,2020-10-30 10:54:04+00,38,0
110,1666,Definite Integrals - Volume of Revolution ,IPB,3,Resolution to finding volume of resolution using definite integrals.,"",key_1_,38.pdf,pdf,2020-10-30 08:27:05+00,2,2020-10-30 10:58:35+00,38,0
111,1666,Definite Integrals - Volume of revolution,IPB,3,Resolution to finding volume of revolution using definite integrals.,"",key_1_,39.pdf,pdf,2020-10-30 08:29:47+00,0,,0,0
112,1666,Definite Integrals - Volume of revolution,IPB,3,Visual definition of the planar region to find  the volume of revolution around x-axis, ,key_1_,39 (1).pdf,pdf,2020-10-30 08:33:36+00,1,2020-10-30 11:02:39+00,38,1
114,1666,Definite Integrals - Volume of revolution ,IPB,3,Resolution to finding the volume of revolution using definite integrals. , ,key_1_,40.pdf,pdf,2020-10-30 08:35:54+00,1,2020-10-30 09:46:44+00,38,1
116,1666,Definite Integrals - Volume of revolution ,IPB,3,Resolution to finding volume of revolution using definite integrals,"",key_1_,42.pdf,pdf,2020-10-30 08:43:27+00,2,2020-10-30 09:25:45+00,38,0
117,1666,Definite Integrals - Volume of revolution ,IPB,3,Hint to a volume of revolution problem. ,"",key_1_,44.pdf,pdf,2020-10-30 08:45:04+00,2,2020-10-30 09:02:09+00,38,0
118,1666,Definite Integrals - Volume of revolution ,IPB,3,Hint to a volume of revolution problem,"",key_1_,41.pdf,pdf,2020-10-30 09:32:03+00,2,2020-10-30 11:06:13+00,38,0
119,1666,Definite Integrals - Volume of revolution ,IPB,3,Hint to find the volume of the solid  formed by revolving the planar region around the y-axis, ,key_1_,44.pdf,pdf,2020-10-30 09:34:55+00,1,2020-10-30 11:10:22+00,38,0
120,1666,Definite Integrals - Volume of revolution ,IPB,3,Resolution of a volume of revolution problem , ,key_1_,43.pdf,pdf,2020-10-30 11:02:10+00,1,2020-10-30 11:16:55+00,38,0
121,1666,Integration by parts,IPB,3,Hint: uses integration by parts and gives a sugestion to g function, ,key_1_,resolution.pdf,pdf,2020-10-30 11:03:23+00,1,2020-10-30 11:22:57+00,38,1
122,1666,Definite Integrals - Trigonometric substitutions,IPB,3,Resolution of a definite integral problem using trigonometric substitution, ,key_1_,20.pdf,pdf,2020-10-30 11:20:23+00,1,2020-10-30 11:24:29+00,38,0
123,1666,Definite Integrals - Rational functions,IPB,3,Resolution to a definite integral problem using partial fractions decomposition ,"",key_1_,23.pdf,pdf,2020-10-30 11:44:09+00,1,2020-10-30 11:50:51+00,38,0
124,1666,Definite Integrals - Area,IPB,3,Resolution for finding an area using definite integrals, ,key_1_,32.pdf,pdf,2020-10-30 11:45:57+00,1,2020-10-30 11:51:29+00,38,0
125,1666,Definite Integrals - Volume of revolution,IPB,3,Resolution to a volume of revolution problem using definite integrals.,"",key_1_,41.pdf,pdf,2020-10-30 11:52:32+00,1,2020-10-30 11:55:01+00,38,0
126,1666,Definite Integrals - Area ,IPB,3,The region is presented and some highlights about the resolution are given., ,key_1_,35.pdf,pdf,2020-10-30 12:08:23+00,1,2020-10-30 13:40:58+00,38,0
128,1666,Definite Integrals - Integration by parts,IPB,3,The resolution of an indefinite integral is provided (integration by parts)., ,key_1_,15.pdf,pdf,2020-10-30 12:47:21+00,1,2020-11-16 10:49:48+00,38,1
129,38,Integration by parts,IPB,3,Somes notes are presented about integration by parts strategy. Some examples are also presented., ,key_1_,by parts.pdf,pdf,2020-10-30 14:46:39+00,1,2023-08-04 04:46:27+00,64,1
130,38,Direct integration and properties,IPB,3,"Some notes are presented about the direct inspection. Also, the integral properties are shown.","",key_1_,direc and properties.pdf,pdf,2020-10-30 14:50:19+00,1,2020-10-30 20:23:16+00,38,2
131,38,Integration of rational functions,IPB,3,Integration of rational functions is explained. Some methods to obtain the coefficients of partial fractions are also addressed. Some examples are shown., ,key_1_,rational functions.pdf,pdf,2020-10-30 14:55:23+00,1,2020-10-30 20:24:00+00,38,1
132,38,Integration by substitution,IPB,3,A summary is presented to integrate a function using the substitution strategy., ,key_1_,substitution.pdf,pdf,2020-10-30 14:58:38+00,1,2023-08-04 04:45:01+00,64,1
133,38,Integration by trigonometric substitution,IPB,3,"An example of this technique is presented and a table with the substitution that should be made, in each case, is given.","",key_1_,trig subst.pdf,pdf,2020-10-30 15:03:48+00,1,2020-10-30 20:25:14+00,38,1
134,38,Rules for the integration of trigonometric power functions,IPB,3,A table with formulas to integrate trigonometric power function is presented., ,key_1_,trig power funct.pdf,pdf,2020-10-30 15:09:35+00,1,2020-10-30 20:27:14+00,38,1
135,38,Direct inspection -- Direct integration,IPB,3,Some exercises are solved using direct inspection. Integration of a constant function and power functions., ,key_1_,direct integration.pdf,pdf,2020-10-30 20:18:18+00,1,2020-10-30 20:28:52+00,38,0
136,38,Substitution technique,IPB,3,A resolution about an integral using the substitution technique is shown., ,key_1_,Exercise subst.pdf,pdf,2020-11-02 14:28:34+00,1,2020-11-02 14:41:42+00,38,1
137,38,Exercise to explore the integral properties and direct inspection,IPB,3,This is the resolution of the question related with the integration of sums and multiplication by a scalar., ,key_1_,Exercise.pdf,pdf,2020-11-02 14:35:31+00,1,2020-11-02 14:42:00+00,38,2
138,38,Exercise about the trigonometric substitution to solve an integral,IPB,3,The resolution of an exercise using the trigonometric substitution  is presented. , ,key_1_,Exercise trig subst.pdf,pdf,2020-11-02 14:39:46+00,1,2020-11-02 14:42:15+00,38,0
139,1666,Binary Relations and Related Concepts,IPB,3,"Different concepts related to binary relations and cartesian product are explained, such as:
- Reflexive Relations
- Transitive Relations
- Symmetric Relations
- Anti-Symmetric Relations
- Equivalence Relation
- Partial Order
",No link.,key_1_,Binary Relations.pdf,pdf,2020-11-07 09:31:45+00,1,2020-11-07 10:52:06+00,64,0
140,1666,Intersection and Union of Sets,IPB,3,Solution to a problem related with basic set operations (concepts of intersection and union),No link.,key_1_,solution1.pdf,pdf,2020-11-07 09:42:48+00,1,2020-11-14 11:15:36+00,64,0
141,1666,Set Operations and Cardinality ,IPB,3,Solved exercice envolving set opeations and cardinality.,No link.,key_1_,solution2.pdf,pdf,2020-11-07 10:12:12+00,1,2020-11-14 11:18:58+00,64,0
142,67,The Law of Logarithms and Worked Examples,Rita Scully,3,This handout summarises the Law of Logarithms. These laws enable us to solve many complex equations. It instructs the user in a calculator exercise and then goes through four worked examples., ,key_1_,41.docx,docx,2020-11-17 09:52:14+00,1,2020-11-17 10:39:30+00,38,1
143,41,Basics of statistics,David M. Lane. et al.,3,The main purpose of statistics are explained. The introduction to statistical characteristics with interpretation and some calculation are presented. ,http://cs.ioc.ee/ITKStat/files/1_intro.pdf,key_1_,basic_statistics.pdf,pdf,2020-11-19 00:42:45+00,2,2020-12-21 12:55:33+00,37,0
144,41,"Graphical Displays of Sample Data
",Ismor Fischer,3,"Some graphical exercises (dotplots, stem-and-seaf diagrams (stemplots), histograms)  are explained and compared.",http://pages.stat.wisc.edu/~ifischer/Intro_Stat/Lecture_Notes/2_-_Exploratory_Data_Analysis/2.2_-_Graphical_Displays.pdf,key_1_,2.2_-_Graphical_Displays.pdf,pdf,2020-11-19 00:58:06+00,1,2020-12-20 16:03:33+00,37,1
145,41,Summary Statistics – Measures of Center and Spread,Ismor Fischer,3,"Some graphical explanation about measures of center (median, mode, mean) and  measures of spread (range, variance, standard deviation) are given.",http://pages.stat.wisc.edu/~ifischer/Intro_Stat/Lecture_Notes/2_-_Exploratory_Data_Analysis/2.3_-_Summary_Statistics.pdf,key_1_,2.3_-_Summary_Statistics.pdf,pdf,2020-11-19 01:04:18+00,1,2020-12-20 16:04:30+00,37,0
146,41,Statistical Inference and Hypothesis Testing,Ismor Fischer,3,"Basics concepts of parameter estimate, confidence interval, hypothesis testing and types of errors for one sampe are presented.",http://pages.stat.wisc.edu/~ifischer/Intro_Stat/Lecture_Notes/6_-_Statistical_Inference/6.1_-_One_Sample.pdf,key_1_,6.1_-_One_Sample.pdf,pdf,2020-11-19 01:13:48+00,2,2020-12-21 12:55:56+00,37,0
147,41,Statistical inference and hypothesis testing for two samples.,Ismor Fischer,3,Basics concepts of  hypothesis testing  for two sampe are presented.,http://pages.stat.wisc.edu/~ifischer/Intro_Stat/Lecture_Notes/6_-_Statistical_Inference/6.2_-_Two_Samples.pdf,key_1_,6.2_-_Two_Samples.pdf,pdf,2020-11-19 01:18:24+00,1,2020-12-20 16:05:49+00,37,1
148,41,"Exercises (hypothesis testing, confidence interval)",Ismor Fischer,3,Some actual problems on testing hypothesis are presented.,http://pages.stat.wisc.edu/~ifischer/Intro_Stat/Lecture_Notes/6_-_Statistical_Inference/6.4_-_Problems.pdf,key_1_,6.4_-_Problems.pdf,pdf,2020-11-19 01:22:52+00,1,2020-12-20 16:06:45+00,37,0
300,2943,Triple integration using rectangular coordinates.,Sofia F. Romanenko,3,Partially solved exercise using rectangular coordinates.,"",key_1_,23.pdf,pdf,2022-09-05 12:20:49+00,1,2022-09-07 07:53:34+00,38,0
149,41,Linear correlation and regression,Ismor Fischer,3,Introduction to linear regression are presented. Some most common variables and values are explained.,http://pages.stat.wisc.edu/~ifischer/Intro_Stat/Lecture_Notes/7_-_Correlation_and_Regression/7.2_-_Linear_Correlation_and_Regression.pdf,key_1_,7.2_-_Linear_Correlation_and_Regression.pdf,pdf,2020-11-19 01:28:12+00,1,2020-12-20 16:07:11+00,37,0
150,41,Lecture on parametric and nonparametric tests,Dr. Rajeev Pandey,3,Basic concepts on parametric and nonparametric tests are presented and explained. Typical exercises are solved.,https://www.lkouniv.ac.in/site/writereaddata/siteContent/202003241550010566rajeev_pandey_parametric_test.pdf,key_1_,parametric_nonparametric_test.pdf,pdf,2020-11-19 02:22:08+00,2,2020-12-21 12:56:12+00,37,0
151,41,Use of statistical tables,"Lucy Radford, Jenny V. Freeman and Stephen J. Walters",3,"Lucy Radford, Jenny V. Freeman and Stephen J. Walters introduce three important
statistical distributions: the standard Normal, t and Chi-squared distributions",https://www.sheffield.ac.uk/polopoly_fs/1.43999!/file/tutorial-10-reading-tables.pdf,key_1_,critical_values.pdf,pdf,2020-11-19 05:51:27+00,1,2020-12-20 16:08:12+00,37,1
